Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What happens when TPRM is integrated with GRC: Policy and Compliance Management?,multiple-choice,Third-party financial data is automatically generated,The compliance status of controls and control objectives is updated based on questionnaire responses,Change requests are automatically created for each assessment,Incidents are automatically linked to third-party assessments,,,,,,,,,,,,2,"The GRC: Policy and Compliance Management integration updates the compliance status of controls and control objectives based on the questionnaire responses from a third party or engagement. TPR managers with the Compliance Manager role can associate controls with specific questions, third parties, and engagements.",Other Application Relationships
Which risk intelligence provider integrations are supported by ServiceNow for TPRM? (Choose TWO),multiple-choice,EcoVadis for sustainability ratings,Microsoft Defender for endpoint security,Shared Assessments SIG questionnaire,Salesforce for CRM data,SAP for financial data,,,,,,,,,,,"1,3","ServiceNow supports EcoVadis integration for sustainability ratings and scores, and Shared Assessments SIG (Standard Information Gathering) questionnaire for industry-standard assessments. These are the integrations directly supported by ServiceNow.",Other Application Relationships
"Evaluate the following statements about risk intelligence provider integrations:

Statement 1: You can request risk data for third parties but not for engagements.

Statement 2: Provider-based submission rules can trigger actions like creating assessments when risk intelligence ratings are updated.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,1,"Both statements are true. Risk intelligence data can only be requested for third parties, not engagements. Provider-based submission rules allow you to specify that an update to a rating from a risk intelligence provider triggers actions like creating assessments, issues, tasks, or emails.",Other Application Relationships
Which of the following is NOT a type of integration supported by ServiceNow partners for TPRM?,multiple-choice,ISV integration for services like BitSight or Black Kite,Content integration for regulatory databases,Payroll integration for employee salary data,"ESG integration for environmental, social, and governance factors",,,,,,,,,,,,3,"Payroll integration for employee salary data is not a standard TPRM integration type. TPRM supports ISV integrations (BitSight, Security Scorecard, Black Kite), Content integrations (regulatory databases), Data integrations (financial systems, security tools), and ESG integrations for sustainability factors.",Other Application Relationships
What does the GRC: Policy and Compliance Management integration with TPRM update based on questionnaire responses?,multiple-choice,The financial health of the third party,The compliance status of controls and control objectives,The risk intelligence scores from external providers,The engagement approval workflow status,,,,,,,,,,,,2,The GRC: Policy and Compliance Management integration updates the compliance status of controls and control objectives based on the questionnaire responses from a third party or engagement.,Application Relationships
"What role is required for TPR managers to associate controls with questions, third parties, and engagements through the compliance integration?",multiple-choice,sn_vdr_risk_asmt.vendor_risk_manager,sn_compliance.manager,sn_grc.admin,sn_vdr_risk_asmt.vendor_risk_assessor,,,,,,,,,,,,2,"Third-party risk (TPR) managers with the Compliance Manager [sn_compliance.manager] role can associate controls with specific questions, third parties, and engagements.",Application Relationships
What type of data do risk intelligence providers generate for third parties?,multiple-choice,Financial audit reports,Risk scores analogous to personal credit scores,Compliance certification documents,Employee background checks,,,,,,,,,,,,2,Risk intelligence providers generate risk scores for a variety of third-party risk domains. The scores are analogous to personal credit scores and provide insight on how trustworthy and safe a particular third party can be.,Application Relationships
What benefit does integrating EcoVadis with TPRM provide?,multiple-choice,Automated contract generation for third parties,Enhanced ability to assess risks related to sustainability and corporate social responsibility,Automatic onboarding of all third parties in the system,Real-time financial transaction monitoring,,,,,,,,,,,,2,Integrating EcoVadis with TPRM enhances your ability to assess and mitigate risks associated with sustainability and corporate social responsibility (CSR) by leveraging EcoVadis' comprehensive sustainability ratings.,Application Relationships
What type of requests do risk intelligence provider integrations support for third parties?,multiple-choice,Change requests,Risk Intelligence Report (RIR) requests,Service catalog requests,Incident requests,,,,,,,,,,,,2,The TPRM application includes support for risk intelligence provider integrations that help develop Risk Intelligence Report (RIR) requests for third parties and due diligence requests.,Application Relationships
What role is required to register fourth-nth parties in TPRM?,multiple-choice,sn_vdr_risk_asmt.vendor_risk_manager,sn_vdr_risk_asmt.vendor_risk_assessor,admin,sn_compliance.manager,,,,,,,,,,,,2,The sn_vdr_risk_asmt.vendor_risk_assessor role is required to register fourth-nth parties in TPRM.,Application Relationships
What are the possible statuses for a fourth-nth party record in the registration process? (Choose THREE),multiple-choice,In review,Active,Ignored,Pending approval,Rejected,,,,,,,,,,,"1,2,3","The status field shows the current state in the registration process: In review, Active, or Ignored.",Application Relationships
A TPR assessor needs to register multiple fourth-nth parties at once after collecting responses. What should they use?,multiple-choice,Create individual fourth-party records manually from the Vendor Management Workspace,Use the fourth-party registration questionnaire assigned to an external assessment,Import fourth-party data using a CSV file,Use the bulk create feature in the Fourth Parties list view,,,,,,,,,,,,2,"To create and register multiple fourth-nth party records at a time, you use the fourth-party registration questionnaire assigned to an external assessment. The questionnaire can only be sent to third parties who provide the fourth-party information.",Application Relationships
Which TWO ServiceNow applications integrate directly with TPRM? (Choose 2),multiple-choice,GRC Policy and Compliance,CMDB,Performance Analytics,Field Service Management,,,,,,,,,,,,"1,2",TPRM integrates with GRC Policy and Compliance for governance alignment and with CMDB to identify business services and CIs dependent on third-party vendors.,CIS-TPRM
Which role is required to create an external assessment in TPRM?,multiple-choice,sn_vdr_risk_asmt.vendor_contact,sn_vdr_risk_asmt.vendor_risk_manager or sn_vdr_risk_asmt.vendor_assessor,sn_vdr_risk_asmt.vendor_risk_admin only,admin only,,,,,,,,,,,,2,The sn_vdr_risk_asmt.vendor_risk_manager or sn_vdr_risk_asmt.vendor_assessor role is required to create external assessments. These roles have the necessary permissions to initiate the third-party risk assessment life cycle.,Assessment Configuration
What is the purpose of a question bank in TPRM?,multiple-choice,To store financial data about third parties,To reuse questions in any assessment by adding them to questionnaires,To manage user authentication credentials,To store third-party contact information,,,,,,,,,,,,2,"A question bank allows you to reuse questions in any assessment by dropping them into questionnaires. You can create custom questions, add existing questions, or add and customize sample questions included with the base system.",Assessment Configuration
