Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Where can ServiceNow developers find vetted partner applications that include vendor support and quality assurance?,multiple-choice,The Developer Share on developer.servicenow.com,The ServiceNow Store on store.servicenow.com,The ServiceNow documentation site at docs.servicenow.com,The Plugins module within the ServiceNow instance,,,,,,,,,,,,2,"The ServiceNow Store at store.servicenow.com hosts partner applications that follow a vendor license agreement, include support, and are quality tested by ServiceNow before being published. See",Application Development
What is the system name of the table where custom application records are stored in ServiceNow?,multiple-choice,sys_scope,sys_app,sys_application,sys_custom_app,,,,,,,,,,,,2,"Custom application records are stored on the sys_app table (Custom Apps table). When you create an application in ServiceNow Studio, the application record is created on this table. See",Application Development
How does the ServiceNow Developer Share differ from the ServiceNow Store?,multiple-choice,Developer Share applications are pre-installed on all ServiceNow instances,Developer Share provides community-contributed content without guaranteed support or quality,Developer Share applications include vendor license agreements and dedicated support,Developer Share requires a paid enterprise subscription to access,,,,,,,,,,,,2,"The Developer Share at developer.servicenow.com is a community-driven repository where ServiceNow developers share applications and utilities for free, but unlike the ServiceNow Store, it does not come with any guarantee of support or quality. See",Application Development
"When creating a new custom application in ServiceNow Studio, which configurations are compulsory during the initial creation process?",multiple-choice,"Application name, user roles, and at least one data table","Application name, user roles, data tables, and navigation modules",Application name and user roles only,"Application name, scope, and an update set",,,,,,,,,,,,3,"When creating a custom application in ServiceNow Studio, only the Application Configurations (including the name and scope) and User Roles are compulsory. Tables, navigation records, and other elements are created as subsequent steps. See",Application Development
"A company wants to consolidate their employee laptop loan process into ServiceNow. Currently, employees send an email to IT, and someone manually tracks requests in a spreadsheet. The process follows a clear request-to-fulfillment workflow. Is this a good candidate for a ServiceNow custom application?",multiple-choice,"No, because equipment tracking involves unstructured data that doesn't fit a relational database","No, because loan management requires proprietary hardware-integration libraries","Yes, because it follows a request-fulfill pattern with structured data and a defined process flow","Yes, but only if implemented using Application Engine Studio instead of ServiceNow Studio",,,,,,,,,,,,3,"An equipment loan process that follows a request-fulfill pattern with structured data (requester, item, dates, status) is an ideal candidate for a ServiceNow custom application. The data maps well to a relational database, it follows a clear process flow, and it benefits from automation and reporting. See",Application Development
Which of the following are application development tools or environments available on the ServiceNow platform? (Select all that apply),multiple-choice,ServiceNow Studio,Flow Designer,Eclipse IDE with ServiceNow plugin,Application Engine Studio,,,,,,,,,,,,"1,2,4","ServiceNow Studio is the integrated development environment for pro-code application development. Application Engine Studio provides a guided, low-code environment for building applications. Flow Designer enables building automated workflows and processes. All three are native ServiceNow platform tools. See",Application Development
"In ServiceNow Studio, how are application development changes managed when external source control repository integration is not available?",multiple-choice,By automatically syncing to a built-in Git repository,By using update sets to track and manage changes,By exporting XML backup files after each save operation,By creating system clone snapshots at regular intervals,,,,,,,,,,,,2,"When ServiceNow Studio does not connect to an external source control repository, update sets are used to manage development changes. Update sets capture and group configuration changes, allowing them to be moved between instances. See",Application Development
A development team is evaluating several project ideas for custom ServiceNow applications. Which of the following scenarios would NOT be a good fit for a custom ServiceNow application? (Select all that apply),multiple-choice,A video streaming platform for distributing corporate training media content,A multi-player game application requiring a real-time graphics rendering engine,A facility maintenance request system where employees report issues and technicians resolve them,An application that depends on a proprietary code library with no available API,,,,,,,,,,,,"1,2,4","ServiceNow is not well suited for streaming media platforms (unstructured data), multi-player games requiring graphics engines, or applications dependent on proprietary libraries without APIs. These fall outside ServiceNow's core strengths as a business automation platform built on a relational database. See",Application Development
What prefix identifies a scoped application's namespace in ServiceNow?,multiple-choice,s_,x_,app_,sn_,,,,,,,,,,,,2,"All scoped application namespaces in ServiceNow begin with the prefix 'x_'. This is the definitive indicator that an application is a scoped application, followed by the company code and application name.",Application Development
Which statement about an application's scope in ServiceNow is correct?,multiple-choice,An application scope can be changed by a system administrator at any time,An application scope is never changeable once it has been set,An application scope can be updated during platform upgrades,An application scope can be modified through the sys_properties table,,,,,,,,,,,,2,"An application scope is immutable — once set, it cannot be changed. This is by design to prevent breaking dependencies and other applications that rely on the scope's namespace.",Application Development
What is a key benefit of developing applications in their own private scope rather than in the global scope?,multiple-choice,Scoped applications execute server-side scripts faster than global applications,Scoped applications provide a separate namespace that prevents unintended interactions between applications,Scoped applications automatically bypass access control rules for easier development,Scoped applications do not require update sets when being promoted between instances,,,,,,,,,,,,2,"A primary benefit of scoped applications is the separate namespace they provide. ServiceNow enforces this separation strictly, ensuring that one application's scripts and data cannot inadvertently affect another application.",Application Development
Which of the following are tenets of the scoped application philosophy in ServiceNow? (Select all that apply),multiple-choice,Applications should be self-contained,Applications should have unrestricted access to all platform data for maximum flexibility,An application should neither break other applications nor the platform itself,Applications should have clearly defined dependencies,,,,,,,,,,,,"1,3,4","The scoped application philosophy includes several key tenets: applications should be self-contained, they should not break other applications or the platform, they should be easily uninstalled, they should only access what they need (least privilege), and they should have clearly defined dependencies.",Application Development
"A developer at a company with the app creator company code 'acme' creates a new scoped application called 'Book Rooms.' Following ServiceNow naming conventions, what would the application's scope namespace most likely be?",multiple-choice,sn_acme_book_rooms,x_acme_book_rooms,global.acme.book_rooms,scope_acme_book_rooms,,,,,,,,,,,,2,"Scoped application namespaces follow the pattern x_[company_code]_[app_name] in snake_case. With the company code 'acme' and application name 'Book Rooms,' the namespace would be x_acme_book_rooms.",Application Development
Which system property stores the company code used as part of a scoped application's namespace?,multiple-choice,glide.app.scope.prefix,glide.appcreator.company.code,sn.scope.company.identifier,glide.namespace.company.name,,,,,,,,,,,,2,The system property glide.appcreator.company.code stores the company code that is used as the second component of a scoped application's namespace (after the x_ prefix). This is a maintained-only property unique to each instance stack.,Application Development
Which of the following accurately describe the distinction between application development and application deployment in ServiceNow? (Select all that apply),multiple-choice,Development focuses on storing and documenting incremental contributions to an application,Deployment involves moving a stable version of an application from one environment to another,Development and deployment are the same process managed entirely through a single update set,Deployment is concerned with promoting a solid version of the application through the instance stack,,,,,,,,,,,,"1,2,4","Application development and deployment are two separate processes. Development is about managing incremental contributions — storing and documenting changes. Deployment is about moving a stable, identified version of the application from one environment to another (e.g., from development to test to production).",Application Development
"A lead developer wants to grant specific team members access to develop components of a scoped application in ServiceNow Studio, without configuring complex group and role assignments. Which feature should the lead developer use?",multiple-choice,Application access controls,Delegated development,Update set permissions,Domain separation,,,,,,,,,,,,2,"Delegated development provides an easy way to add a roster of users to the development list of a scoped application. It simplifies granting development access and controlling what developers can modify, without needing to manage complex group and role configurations.",Application Development
"In the Automated Test Framework (ATF), what syntax is used to reference the output of previous test steps within subsequent steps?",multiple-choice,"Dollar sign curly brace syntax (e.g., ${variable_name})",Angular-like expression syntax,Jelly template tag syntax,GlideRecord dot-walk notation,,,,,,,,,,,,2,"ATF uses a syntax that resembles Angular expressions to reference the output of previous test steps. Unlike the dollar sign curly brace syntax commonly used elsewhere in ServiceNow (e.g., notifications, mail scripts), ATF steps use this distinct angular-like expression syntax to pass values dynamically between steps.",Application Development
"When developing a new scoped application, what is the recommended way to create an initial baseline of your application in an update set?",multiple-choice,Create a named update set before creating the scoped application,Use 'Publish to Update Set' after the application and initial table are created,Export all application records to an XML file,Clone the development instance to preserve the initial state,,,,,,,,,,,,2,The recommended approach is to use 'Publish to Update Set' after creating the application and its first table. This serves as an initial commit that captures everything created so far. Creating an update set before creating the application would not capture the app records because the app is created in a new application scope.,Application Development
