Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which table is populated when setting up Microsoft SCCM for Software Asset Management?,multiple-choice,Software Model [cmdb_sw_model],Software Installation [cmdb_sam_sw_install],Discovery Model [cmdb_sam_sw_discovery_model],Software Entitlement [alm_entitlement],,,,,,,,,,,,2,Setting up Microsoft SCCM for Software Asset Management populates the Software Installation [cmdb_sam_sw_install] table with client software found in your environment.,Data Integrity & Sources
Which plugins must be activated to pull software usage data from Microsoft SCCM? (Choose two.),multiple-choice,Integration — Microsoft SCCM 2016 (com.snc.integration.sccm2016),Integration — Microsoft SCCM 2016 Software Usage (com.snc.samp.usage_sccm_2016),Software Asset Management Core (com.snc.samp),Service Graph Connector Analytics (com.snc.sg.analytics),,,,,,,,,,,,"1,2","To pull software usage data from SCCM, you need both the SCCM integration plugin (e.g., Integration — Microsoft SCCM 2016) AND the corresponding software usage plugin (e.g., Integration — Microsoft SCCM 2016 Software Usage).",Data Integrity & Sources
Which is NOT a supported publisher pack for Software Asset Management?,multiple-choice,Adobe (com.sn_samp_adobe),Salesforce (com.sn_samp_salesforce),Oracle (com.snc.samp.oracle),VMware (com.sn_samp_vmware),,,,,,,,,,,,2,"Salesforce is NOT a supported publisher pack. The supported publisher packs are: Adobe, Citrix, IBM (includes Red Hat Enterprise Linux), Microsoft, Oracle, SAP, and VMware.",Data Integrity & Sources
What combination of fields forms the primary key for matching software installations to discovery models?,multiple-choice,"Publisher, Product Name, License Type","Publisher, Display Name, Version","Vendor, Software Name, Build Number","Publisher, Model Number, Install Date",,,,,,,,,,,,2,"The primary key used to match new software installations to a new or existing software discovery model consists of Publisher, Display Name, and Version.",Data Integrity & Sources
"Which of the following statements about software discovery models are true?
a) Discovery models are automatically created during discovery and cannot be created manually.
b) Multiple discovery models can be associated to one software model.
c) Discovery models are created for all software installations including Security Updates.
d) When an exact version match is not found, the system rounds down to a major version number.",multiple-choice,"a, b, c, and d","a, b, and d only","b, c, and d only",a and b only,,,,,,,,,,,,2,"Statements a, b, and d are true. Statement c is false because discovery models are NOT created for software installations that have a name containing 'Security Update'.",Data Integrity & Sources
What is the difference between a software model and a software discovery model?,multiple-choice,A software model is discovered automatically; a discovery model is created manually,A software model is a purchased/available version; a discovery model is created when software is discovered in the network,A software model tracks licenses; a discovery model tracks hardware,There is no difference; the terms are interchangeable,,,,,,,,,,,,2,A software model is a specific version or configuration of software that is purchased and/or available to users. A software discovery model is created when a version of software is discovered in a network environment. Multiple discovery models can be associated to one software model.,Data Integrity & Sources
An organization wants to use a third-party discovery tool to populate software data in ServiceNow SAM. Which API must they use to send the discovery payload?,multiple-choice,CMDB Table API,IRE REST API,Import Set API,Discovery REST API,,,,,,,,,,,,2,"Third-party discovery sources must send the payload to the ServiceNow instance using the IRE REST API. The SAM application uses the IRE API to populate Software Asset Management tables. As the IRE API relies on CI identifiers, the SAM tables require a relationship to the CI for IRE support.",Data Integrity & Sources
Which capabilities does the Software Asset Management Professional for IBM publisher pack provide? (Choose two.),multiple-choice,Reconcile IBM products using PVU and RVU license metrics,Reconcile Red Hat Enterprise Linux software,Reconcile Microsoft SQL Server products,Reconcile Adobe subscription software,,,,,,,,,,,,"1,2","The IBM publisher pack (com.sn_samp_ibm) provides capabilities to reconcile IBM products using PVU and RVU license metrics. It also provides capabilities to reconcile Red Hat Enterprise Linux software, including Red Hat Enterprise Linux Server and Red Hat Enterprise Linux for Virtual Datacenters.",Data Integrity & Sources
What are the six possible normalization statuses for a discovery model in Software Asset Management?,multiple-choice,"Normalized, Partially Normalized, Publisher Normalized, Match Not Found, Manually Normalized, New","Complete, Partial, Publisher Only, Not Found, Manual, Pending","Verified, Unverified, Publisher Match, No Match, Override, Queued","Matched, Unmatched, Publisher Matched, Error, Corrected, Initial",,,,,,,,,,,,1,"The six normalization statuses are: Normalized (fully matched on publisher, product, version), Partially Normalized (matched publisher and product only), Publisher Normalized (matched publisher only), Match Not Found (no matches), Manually Normalized (manually filled in), and New (not yet processed).",Data Integrity & Sources
"When a discovery model has a ""Partially Normalized"" status, which fields are editable?",multiple-choice,Publisher field only,Version field only,Product and version fields,"All fields including publisher, product, and version",,,,,,,,,,,,2,"When a discovery model is Partially Normalized, it means publisher and product fields are already matched. Only the version field is editable. Once version information is added, the status changes to Manually Normalized.",Data Integrity & Sources
"A discovery model shows ""Match Not Found"" status. What does this indicate and what action can be taken?",multiple-choice,The software was uninstalled; wait for the next discovery scan,None of the three key fields matched a rule in the Software Library; all key fields can be manually edited,The discovery process failed; re-run discovery,The license expired; renew the entitlement,,,,,,,,,,,,2,"Match Not Found means the normalization process could not match any of the three key fields (publisher, product, version) with a rule in the Software Library. All key fields become editable, and once manually filled in, the status changes to Manually Normalized. This often occurs for custom software specific to an organization.",Data Integrity & Sources
Which discovery tools can be used to discover software installations in an environment for Software Asset Management?,multiple-choice,Only ServiceNow Discovery,ServiceNow Discovery or Microsoft SCCM,Only third-party ITSM tools,Manual entry only,,,,,,,,,,,,2,A discovery process such as ServiceNow Discovery or Microsoft SCCM (2012 v2 or 2016) can be used to discover software installed in your environment. The discovered software is then normalized and matched to software discovery models.,Data Integrity & Sources
Which fields are compared during the normalization process to match discovered software against the ServiceNow repository? (Choose three.),multiple-choice,Discovered publisher,Installation date,Discovered product,Discovered version,License key,,,,,,,,,,,"1,3,4","The normalization process compares discovered publisher, discovered product, and discovered version values against the ServiceNow repository of normalized equivalents. These three key fields determine the normalization status.",Data Integrity & Sources
"When a discovery model is fully normalized, to which fields is it normalized?",multiple-choice,Publisher only,Publisher and product,Version and full version,All fields except version,,,,,,,,,,,,3,"When a discovery model is normalized (fully normalized), it is normalized to the version and full version. If the discovery model is only partially normalized or publisher normalized, it will not be updated to full version.",Data Integrity & Sources
What happens when a software install record is written to the Software Installations table during discovery?,multiple-choice,A business rule checks if the discovered publisher/product/version combination exists in the Discovery Model table,The installation is immediately normalized against the Content Service,An entitlement is automatically created for the software,The software is added to the Product Results table,,,,,,,,,,,,1,"When software install records are written to the Software Installations table, a business rule verifies whether the unique combination of discovered publisher, product, and version exists in the Discovery Model table. If it exists, the reference is set; if not, a new Discovery Model record is created.",Data Integrity & Sources
In which table are discovered software installations stored?,multiple-choice,Software Model [cmdb_sam_sw_model],Software Installations [cmdb_sam_sw_install],Discovery Model [cmdb_sam_sw_discovery_model],Product Results [samp_product_result],,,,,,,,,,,,2,"Discovered software is stored in the Software Installations [cmdb_sam_sw_install] table. Discovery populates this table, which then references records in the Discovery Model table.",Data Integrity & Sources
