Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which widget provides a consolidated view of all tasks and to-dos assigned to an employee in Employee Center?,multiple-choice,Quick Links Widget,My Active Items Widget,Recommended for you widget,Favorites Page widget,,,,,,,,,,,,2,The My Active Items Widget provides a consolidated view into all the tasks and to-dos assigned to the employee. It is designed to be configured and extended to additional tasks. Source:,Core HR Applications & Employee Center
Which widgets are present on the Employee Center Pro home page? (Choose three.),multiple-choice,Content Experience,Upcoming Events,My Active Items,Employee Taxonomy,Workflow Designer,,,,,,,,,,,"1,2,3","Employee Center Pro home page includes: Content Experience, Recommended for you, Popular topics, Upcoming Events, My Active Items, Videos, App launcher, and Homepage Search. Source:",Core HR Applications & Employee Center
What is the purpose of the Recommended for you widget in Employee Center?,multiple-choice,Shows tasks assigned to the employee,Highlights the most relevant content based on popularity or ML algorithm,Displays the employee's organization chart,Provides access to recently-used applications,,,,,,,,,,,,2,The Recommended for you widget highlights the most relevant content for the employee. It is based on popularity or ML-algorithm (if entitled for Predictive Intelligence capabilities) that looks at similarity in employee profile to show popular content. Source:,Core HR Applications & Employee Center
What is the widget ID for the App Launcher in Employee Center Pro?,multiple-choice,ec-app-launcher,app-launcher,web_applications,application_menu,,,,,,,,,,,,2,The App Launcher widget has the ID 'app-launcher'. It appears on the home page to provide one-click access to recently-used applications and favorites. Source:,Core HR Applications & Employee Center
"Which Content Publishing widget shows portal content with content type of Banner, generally used to show informative messages?",multiple-choice,Announcements (CD),Styled Content (CD),Welcome Banner (CD),Featured News,,,,,,,,,,,,3,The Welcome Banner (CD) widget with ID 'cd-banner' shows portal content with content type of Banner. It is generally used to show informative banners/text and shows in a carousel when there are multiple items. Source:,Core HR Applications & Employee Center
Which is NOT a valid video platform supported by the Video Carousel (CD) widget?,multiple-choice,YouTube,Vimeo,Brightcove,Both YouTube and Vimeo are supported,,,,,,,,,,,,3,Brightcove is NOT supported by the Video Carousel (CD) widget. Only YouTube and Vimeo embedded links are supported for displaying videos in the carousel. Source:,Core HR Applications & Employee Center
Which quick start tests validate approval functionality in Employee Center? (Choose two.),multiple-choice,Employee Center - Approval Hub Approve Request,Employee Center - My Favorites,Employee Center - Approval Hub Reject Request,Employee Center - Topic Page,,,,,,,,,,,,"1,3",Two tests validate approval functionality: 'Employee Center - Approval Hub Approve Request' verifies approval functionality and that approved requests appear in the Completed column. 'Employee Center - Approval Hub Reject Request' verifies rejection functionality and that rejected requests appear in the Completed column. Source:,Core HR Applications & Employee Center
In which ServiceNow release was the 'Employee center - Employee Profile Generation' quick start test introduced?,multiple-choice,San Diego,Tokyo,Utah,Xanadu,,,,,,,,,,,,4,The 'Employee center - Employee Profile Generation' test that verifies employee profiles are generated as per the employee definition was introduced in the Xanadu release. Source:,Core HR Applications & Employee Center
Which plugins must be activated to run Employee Center and Employee Center Pro quick start tests?,multiple-choice,Only com.sn_hr_core,"com.sn_hr_core, app-ex-employee-center-core, and app-ex-employee-center",Only app-ex-employee-center-pro-content,com.snc.sdlc.agile.2.0 and com.snc.sdlc.agile.2.0.atf,,,,,,,,,,,,4,"To run Employee Center quick start tests, the Agile Development 2.0 (com.snc.sdlc.agile.2.0) and Agile Development 2.0 - ATF Tests (com.snc.sdlc.agile.2.0.atf) plugins must be enabled. Demo data is also required. Source:",Core HR Applications & Employee Center
Where can administrators navigate to view the full list of Employee Center widgets?,multiple-choice,All > Employee Center > Widgets,All > Service Portal > Widgets,All > HR Administration > Widget Library,All > System UI > Widgets,,,,,,,,,,,,2,"To see the full list of Employee Center widgets, you can navigate to All > Service Portal > Widgets. This section provides a quick overview of all available widgets that can be used or cloned. Source:",Core HR Applications & Employee Center
Which widget displays the relationships between employees in an organization chart format in Employee Center Pro?,multiple-choice,Employee Profile My Team,Organization Chart (EC) with ID org_chart,Organization Chart (CD) with ID cd-orgchart,Employee Profile Overview,,,,,,,,,,,,2,"The Organization Chart (EC) widget with ID 'org_chart' displays the employees organization chart, the relationships to other employees, and more. This is the Employee Center Pro specific widget for org charts. Source:",Core HR Applications & Employee Center
An administrator wants to test that a user can submit an HR catalog item that creates both a Universal Request and an HR case with linking between them. Which quick start test validates this functionality?,multiple-choice,ESC: Post General HR Inquiry questions on ESC portal,ESC: Submit a Record Producer which creates Universal Request and HR Case,ESC: Verify Standard Ticket page on ESC for HR Case,HR: Search catalog items & KBs in ESC,,,,,,,,,,,,2,The 'ESC: Submit a Record Producer which creates Universal Request and HR Case' test verifies a user can submit an HR catalog item that creates a Universal Request. It also verifies the Universal Request and HR case are created and linked. Source:,Core HR Applications & Employee Center
What is the purpose of the Content Analytics Site Tracker widget?,multiple-choice,Track employee location data,"Analyze user behavior, usage metrics, and more from the user experience dashboard",Monitor HR case resolution times,Track employee training completions,,,,,,,,,,,,2,"The Content Analytics Site Tracker widget (ID: cda-site-analytics) helps analyze user behavior, usage metrics, and more from the user experience dashboard. Source:",Core HR Applications & Employee Center
"Which of the following statements is true about quick start tests in Employee Center?
a) Quick start tests are enabled by default and can be run immediately
b) All test suites pass on a default implementation with demo data
c) Quick start tests cannot be copied or customized
d) Quick start tests do not support performance profiling",multiple-choice,Only a is true,Only b is true,Both a and c are true,Both b and d are true,,,,,,,,,,,,2,Statement b is true: All test suites and tests should pass on a default implementation with demo data. Statement a is false because quick start tests are disabled and read-only test templates. Statement c is false because tests can be copied and configured for customizations. Statement d is false because Performance Profiling can be used to compare tests. Source:,Core HR Applications & Employee Center
