Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What is the 'Better Together' principle in ServiceNow CSM implementation?,multiple-choice,A team collaboration framework for agents,Integrating CSM with other ServiceNow applications like ITSM for end-to-end processes,A customer loyalty program,A training methodology for new agents,,,,,,,,,,,,2,"The 'Better Together' principle emphasizes integrating CSM with other ServiceNow applications (ITSM, ITOM, etc.) to create end-to-end processes. For example, CSM cases can automatically create incidents for IT-related issues.",Best Practices & Knowledge Management
What is Article Quality Index (AQI) in ServiceNow Knowledge Management?,multiple-choice,A measure of how long articles take to write,A score that measures knowledge article quality based on feedback and usage metrics,An index of all available articles,A ranking of article authors,,,,,,,,,,,,2,"Article Quality Index (AQI) is a score that measures knowledge article quality based on factors like user feedback, view counts, attachment of articles to cases, and other usage metrics.",Best Practices & Knowledge Management
What are knowledge blocks used for in CSM?,multiple-choice,To block access to sensitive knowledge articles,To create reusable content that can be shared across multiple knowledge articles,To organize articles into categories,To schedule knowledge article publications,,,,,,,,,,,,2,"Knowledge blocks allow creating reusable content that can be shared across multiple knowledge articles. When the block is updated, all articles using that block automatically reflect the change.",Best Practices & Knowledge Management
Why is defining project scope important in CSM implementations?,multiple-choice,It limits the number of users who can access the system,It ensures the implementation focuses on business-critical features and avoids scope creep,It reduces the license costs,It automatically configures all CSM features,,,,,,,,,,,,2,"Properly defining project scope ensures the CSM implementation focuses on business-critical features, delivers value quickly, and avoids scope creep that can delay go-live and increase costs.",Best Practices & Knowledge Management
What does bulk translation capability provide in Knowledge Management?,multiple-choice,Automatic real-time translation of chat messages,The ability to translate multiple knowledge articles to different languages efficiently,Translation of ServiceNow interface elements,Voice-to-text translation for phone calls,,,,,,,,,,,,2,"Bulk translations in Knowledge Management allow organizations to efficiently translate multiple knowledge articles to different languages, supporting global customer service operations.",Best Practices & Knowledge Management
"An organization using CSM receives many IT-related customer cases. Following the 'Better Together' principle, what integration should they implement?",multiple-choice,Integration with external ticketing systems only,Integration with ServiceNow ITSM to create incidents from CSM cases,No integration is needed; CSM handles all IT issues,Integration with the marketing automation platform,,,,,,,,,,,,2,"Following the Better Together principle, CSM should integrate with ITSM so that IT-related customer issues can automatically create incidents for the IT team to resolve, maintaining end-to-end visibility.",Best Practices & Knowledge Management
What is the recommended approach for handling entitlements that use 'hours' as the unit type?,multiple-choice,The platform automatically tracks hours through the Remaining Units field,Customers must create a custom business rule to deduct hours based on agent time spent,Hours-based entitlements are not supported in CSM,A scheduled job calculates hours from timecard entries,,,,,,,,,,,,2,"While case-based entitlements have a built-in business rule ('Update case entitlement on Close'), hours-based entitlements require customers to create a separate business rule. For example, a rule that deducts the time an agent spends on a case when it is resolved.",CIS-CSM
"When implementing escalation management in CSM, what should be created to control the escalation process?",multiple-choice,Escalation rules and notification templates,Escalation templates and severity definitions,Escalation workflows and approval policies,Escalation groups and routing rules,,,,,,,,,,,,2,CSM escalation management requires creating escalation templates and severity definitions to control the escalation process. These define how escalations are handled and what severity levels are available.,CIS-CSM
Which actions can a post case review approval workflow support? (Choose two.),multiple-choice,Approvers can suggest changes to the review document,Approvers receive email notifications about pending reviews,Reviews are automatically published after 48 hours without response,Rejected reviews are automatically deleted from the system,,,,,,,,,,,,"1,2","The post case review approval workflow allows agents to add approval groups or users. Approvers can suggest changes or approve the document, and they receive email notifications about pending reviews.",CIS-CSM
An organization wants to share addresses across related accounts in their account hierarchy. What CSM feature supports this?,multiple-choice,Account address domain separation,Address sharing through account hierarchy,Global address book,Contact address inheritance,,,,,,,,,,,,2,"CSM supports address sharing through account hierarchy, allowing related accounts to share addresses. This is separate from address sharing for non-related accounts.",CIS-CSM
