Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What is the purpose of the Automated Malware playbook in Security Incident Response?,multiple-choice,To manually track malware infections,To provide a sequence of automated steps to help analysts resolve malware alerts efficiently,To generate compliance reports,To configure firewall rules,,,,,,,,,,,,2,The Automated Malware playbook provides a sequence of automated steps that helps analysts resolve malware alerts more efficiently. It automates steps involved in handling malware alerts from endpoints or networks.,Automation and Standard Processes
Which four stages are included in the Automated Malware playbook process definition? (Choose four.),multiple-choice,Analysis,Contain,Deploy,Eradicate,Review,,,,,,,,,,,"1,2,4,5","The Automated Malware playbook includes four stages: Analysis, Contain, Eradicate, and Review. Each stage corresponds to security incident states.",Automation and Standard Processes
Which three roles are required to activate a Security Incident Response flow? (Choose three.),multiple-choice,sn_si.admin,action_designer,flow_designer,itil,admin,,,,,,,,,,,"1,2,3","The roles required to activate a Security Incident Response flow are: sn_si.admin, action_designer, and flow_designer.",Automation and Standard Processes
What is the state of SIR flows provided with the base system?,multiple-choice,Active and published,Active and draft,Inactive and published,Inactive and draft,,,,,,,,,,,,3,The flows provided with the base system are in an inactive state but published. You must activate these flows before using them.,Automation and Standard Processes
Which application must be installed before using SIR flows?,multiple-choice,IT Service Management Spoke,Security Operations Spoke,CMDB Spoke,Vulnerability Response Spoke,,,,,,,,,,,,2,Download and install the Security Operations Spoke application. This Spoke provides security operations actions that you can use while defining Security Incident Response flows.,Automation and Standard Processes
When is the Attempted Access to Deactivated Accounts playbook triggered?,multiple-choice,When an employee changes their password,"When a terminated, disabled, or separated employee attempts to log in",When a new employee is onboarded,When account permissions are modified,,,,,,,,,,,,2,"This playbook triggers when an employee whose account is terminated, disabled, or separated attempts to log in with their credentials.",Automation and Standard Processes
What happens when you complete all tasks in a playbook stage?,multiple-choice,The playbook automatically closes,You can move to the next stage,All data is deleted,The security incident is immediately resolved,,,,,,,,,,,,2,"After you complete all the tasks in a stage, you can move to the next stage. The status is reflected in the left-hand panel as you keep completing tasks and stages.",Automation and Standard Processes
What playbook does Major Security Incident Management provide with the base system?,multiple-choice,Automated Phishing playbook,Legal Request playbook,Malware Analysis playbook,Threat Hunt playbook,,,,,,,,,,,,2,Major Security Incident Management provides the Legal Request playbook with the base system.,Automation and Standard Processes
"Which statements about playbooks in Security Incident Response are true?
a) All actions in playbook flows are reusable and can be modified
b) A playbook is visible only if at least one playbook is associated with a security incident
c) Playbooks can only be invoked manually
d) You can save a task and return to the playbook later",multiple-choice,"a, b, c, and d","a, b, and d only",a and c only,b and d only,,,,,,,,,,,,2,"Statements a, b, and d are true. Actions are reusable and modifiable, playbooks are visible only when associated, and tasks can be saved and resumed. Statement c is false - playbooks can be invoked automatically or manually.",Automation and Standard Processes
Where do you navigate to find and activate Security Incident Response flows?,multiple-choice,Security Operations > Incident Management,Flow Designer > Designer (search for Security Operations Spoke),System Properties > Security,Security Incident Response > Configuration,,,,,,,,,,,,2,Navigate to Flow Designer > Designer and search for the Security Operations Spoke application to view the Security Incident related flows.,Automation and Standard Processes
Which tool must be used to build playbook processes for Security Incident Response?,multiple-choice,Flow Designer,Process Automation Designer (PAD),Workflow Editor,IntegrationHub,,,,,,,,,,,,2,"A Playbook is visible only if at least one playbook is associated with a security incident. The playbook component works only for Process Automation Designer (PAD) built processes, not for Flow Designer-built flows.",Automation and Standard Processes
Which methods can be used to associate a playbook with a security incident? (Choose two.),multiple-choice,Automatically invoke when trigger conditions are met,Manually add from the Form UI action dropdown,Import from a CSV file,Email request to the security team,,,,,,,,,,,,"1,2","Playbooks can be associated with security incidents either automatically (when a PAD process trigger condition is met) or manually (using the Add Playbook option from the Form UI action dropdown). When multiple playbooks are added, they run in parallel.",Automation and Standard Processes
What are the four stages of the Automated Malware playbook process definition?,multiple-choice,"Detect, Investigate, Remediate, Close","Analysis, Contain, Eradicate, Review","Alert, Triage, Response, Recovery","Identify, Protect, Respond, Recover",,,,,,,,,,,,2,"The Automated Malware playbook contains four stages that correspond to the security incident state: Analysis, Contain, Eradicate, and Review. Each stage has activities within it that must be completed to progress.",Automation and Standard Processes
Which actions can analysts perform within playbook activity cards? (Choose three.),multiple-choice,Skip the activity,Mark as complete,Delete the playbook definition,Cancel the activity,Modify system properties,,,,,,,,,,,"1,2,4","Within each playbook activity, analysts can perform actions defined within the activity cards such as Skip, Mark as complete, Cancel, or Orchestration actions like Submit to sandbox or Search Emails.",Automation and Standard Processes
An analyst needs to view pending activities and stages in a security incident playbook. Where should they configure this setting?,multiple-choice,System Properties > Security,Playbook Experiences > SIR Playbook Experience > Configuration,Flow Designer > Playbook Settings,Security Incident > Form Layout,,,,,,,,,,,,2,"Navigate to All > Playbook Experiences, select SIR Playbook Experience, then click the Configuration record. The Pending Item Visibility field offers options: Hide pending activities, Show pending stages and activities, or Hide pending activities and stages.",Automation and Standard Processes
What is the Playbook Experience configuration used for in the Security Incident Response Workspace?,multiple-choice,To create new security incidents automatically,To control the display mode and behavior of playbook activities within the workspace,To generate compliance reports for security incidents,To manage user roles and permissions,,,,,,,,,,,,2,"The Playbook Experience configuration controls how playbook activities are displayed in the SIR Workspace, including which activities are visible and how they render.",Automation and Standard Processes
What is the relationship between Process Automation Designer (PAD) and playbooks in Security Incident Response?,multiple-choice,PAD replaces playbooks entirely,Playbooks are built using PAD processes and rendered in the playbook component when trigger conditions are met,PAD is only used for vulnerability response workflows,Playbooks can only be built using Flow Designer,,,,,,,,,,,,2,"Playbooks in SIR are built using Process Automation Designer (PAD). When trigger conditions are met, the playbook tab renders with the playbook activities displayed. The playbook component works only for PAD-built processes.",Automation and Standard Processes
An analyst wants to add a second playbook to a security incident that already has an active playbook. What will happen?,multiple-choice,The existing playbook will be replaced by the new one,The new playbook will run in parallel to the existing playbook,The system will reject the addition until the first playbook completes,The analyst must cancel the first playbook before adding another,,,,,,,,,,,,2,"According to ServiceNow documentation, if there is already a playbook available, new playbooks added will run in parallel to the existing playbooks.",Automation and Standard Processes
Which actions can an analyst perform on individual activity cards within a playbook in SIR?,multiple-choice,Only view the activity status,"Skip, Mark as complete, Cancel, or Orchestration actions such as Submit to sandbox",Only approve or reject the activity,Reassign the activity to another team,,,,,,,,,,,,2,"Within each activity in a playbook, analysts can perform actions defined within the activity cards such as Skip, Mark as complete, Cancel, or Orchestration actions such as Submit to sandbox, Search Emails, and so on.",Automation and Standard Processes
How are future activities displayed in a SIR playbook before they become active?,multiple-choice,They are hidden completely from view,They are displayed with a lock icon in read-only mode,They are shown as editable draft activities,They appear greyed out with no details visible,,,,,,,,,,,,2,All future activity definitions and next steps to be performed are displayed with a lock icon and are in read-only mode to the user.,Automation and Standard Processes
What is the primary purpose of playbooks in Security Incident Response?,multiple-choice,To document incident response procedures as static PDFs,To automate response actions and guide analysts through structured investigation workflows,To automatically close all low-severity incidents,To generate training materials for new analysts,,,,,,,,,,,,2,"Playbooks in SIR automate response actions (containment, enrichment, notification) and provide structured, repeatable workflows that guide analysts through consistent investigation and remediation processes.",CIS-SIR
What does TTP stand for in the MITRE ATT&CK framework?,multiple-choice,Threat Tracking Protocol,"Tactics, Techniques, and Procedures",Technical Threat Parameters,Threat Testing Platform,,,,,,,,,,,,2,"TTP stands for Tactics, Techniques, and Procedures - the core components of the MITRE ATT&CK framework.",Security Incident Creation and Threat Intelligence
What role does the TAXII client play in Security Operations?,multiple-choice,It sends vulnerability scan results,It connects to the TAXII server to ingest data collections to Threat Intelligence,It generates compliance reports,It manages user permissions,,,,,,,,,,,,2,The pre-loaded TAXII client connects to the TAXII server to ingest data collections to Threat Intelligence.,Security Incident Creation and Threat Intelligence
What is an IoC in the context of Security Incident Response?,multiple-choice,Index of Compliance,Indicator of Compromise,Instance of Control,Integration of Components,,,,,,,,,,,,2,"IoC stands for Indicator of Compromise - artifacts like IP addresses, file hashes, and domains that indicate potential security breaches.",Security Incident Creation and Threat Intelligence
Which are examples of Indicators of Compromise (IoCs)? (Choose three.),multiple-choice,IP addresses,File hashes,User satisfaction scores,Domains,Office locations,,,,,,,,,,,"1,2,4","IoCs include artifacts like IP addresses, file hashes, and domains that indicate potential security compromises.",Security Incident Creation and Threat Intelligence
What happens when an IoC is associated to a security incident?,multiple-choice,The incident is automatically closed,Threat Intelligence automatically searches threat feeds for relevant information,A vulnerability scan is triggered,The IoC is deleted,,,,,,,,,,,,2,"When an IoC is associated to a security incident, Threat Intelligence automatically searches threat feeds for relevant information and sends IoCs to third-party sources for additional analysis.",Security Incident Creation and Threat Intelligence
How long after an employee's termination date does the user's identity state typically get updated to 'separated' in SailPoint?,multiple-choice,Immediately,7 days,30 days,90 days,,,,,,,,,,,,3,30 days is the ideal time from the termination date for the identity state to get updated to a separated state in SailPoint.,Security Incident Creation and Threat Intelligence
What has happened to the Pre-ATT&CK matrix in MITRE?,multiple-choice,It was renamed to Mobile ATT&CK,It was deprecated and merged with the Enterprise matrix,It became ICS ATT&CK,It is still maintained separately,,,,,,,,,,,,2,The Pre-ATT&CK matrix has been deprecated by MITRE and is merged with the Enterprise matrix.,Security Incident Creation and Threat Intelligence
A security analyst wants to understand how an adversary might achieve the tactical objective of 'Privilege Escalation'. What should they examine in MITRE ATT&CK?,multiple-choice,The Privilege Escalation tactic and its associated techniques,Only the Enterprise matrix overview,The vulnerability database,The compliance framework,,,,,,,,,,,,1,Techniques represent HOW an adversary achieves a tactical objective. The analyst should examine the Privilege Escalation tactic and its associated techniques like Access Token Manipulation.,Security Incident Creation and Threat Intelligence
Which Security Operations applications fall under USEM (Unified Security Exposure Management)? (Choose two.),multiple-choice,Security Incident Response,Security Posture Control,Vulnerability Response,Major Security Incident Management,,,,,,,,,,,,"2,3","USEM applications help anticipate threats and identify security exposures. They include Security Posture Control and Vulnerability Response (along with Application Vulnerability Management, Configuration Compliance, and Container Vulnerability Response).",Security Incident Creation and Threat Intelligence
Which system property can be enabled to prevent duplicate security incident creation from incident management?,multiple-choice,sn_si.auto_close_duplicates,sn_si.disable_duplicate_security_incident,sn_si.prevent_duplicate_creation,sn_si.deduplicate_incidents,,,,,,,,,,,,2,The sn_si.disable_duplicate_security_incident system property can be enabled to avoid duplicate security incidents creation from the Incident Management form.,Security Incident Creation and Threat Intelligence
Which of the following is NOT a method for manually creating security incidents in ServiceNow SIR?,multiple-choice,From the Security Incident list by selecting New,From the Security Incident Catalog,From Event Management alerts,From the CMDB directly without any security role,,,,,,,,,,,,4,"Security incidents can be manually created from the Security Incident list, the Security Incident Catalog, Incident Management, security requests, Event Management alerts, and vulnerability records. Creating from CMDB directly without a security role is not a supported method.",Security Incident Creation and Threat Intelligence
How are security incidents automatically created in Security Incident Response?,multiple-choice,Through manual form submissions only,Based on alert rules defined in Event Management,By scheduled jobs that run daily,Through the CMDB discovery process,,,,,,,,,,,,2,Security incidents can be automatically created using alert rules defined in the Event Management application. Security administrators are generally responsible for setting up these alert rules.,Security Incident Creation and Threat Intelligence
A security analyst receives an email from an external malware detection system. How can this email generate a security incident in ServiceNow?,multiple-choice,The analyst must manually copy the email content into the Security Incident form,Email parsing can automatically create security incident records from emails sent by external detection systems,Emails cannot be used to create security incidents,The email must first be converted to a PDF before it can be processed,,,,,,,,,,,,2,"Security Operations email parsing allows any system that can send an email to create Security Operations records, including security incidents. Emails sent to the configured address are processed by email parsers to create records.",Security Incident Creation and Threat Intelligence
What can be created from a security request in Security Incident Response?,multiple-choice,A vulnerability record,A security incident by converting the security request,A change request,A problem record,,,,,,,,,,,,2,"On the Security Request form, you can select Convert to Security Incident to create a new security incident from a security request.",Security Incident Creation and Threat Intelligence
"When the Vulnerability Response plugin is activated, what additional method becomes available for creating security incidents?",multiple-choice,Creating incidents from the CMDB CI form,Converting vulnerability items to security incidents from the Vulnerability Items form,Importing incidents from CSV files,Creating incidents from knowledge articles,,,,,,,,,,,,2,"When the Vulnerability Response plugin is activated, on the Vulnerability Items form, you can select Create Security Incident to create a new security incident.",Security Incident Creation and Threat Intelligence
Which method can automatically create security incidents from SIEM alerts?,multiple-choice,Manual import via CSV upload,Inbound email parsing,SIEM integration using the Events table and correlation rules,Scheduled report analysis,,,,,,,,,,,,3,"SIEM integrations feed alerts into the Events table, where correlation rules evaluate them and automatically create security incidents when conditions are met.",CIS-SIR
Which TWO methods can create security incidents in ServiceNow SIR? (Choose 2),multiple-choice,Manually through the Security Incident form,Automatically through event correlation rules,Through the Service Catalog checkout process,Via the CMDB reconciliation engine,,,,,,,,,,,,"1,2",Security incidents can be created manually by analysts via the form or automatically through event correlation rules that detect patterns in security events from integrated sources.,CIS-SIR
Where are SIR integrations configured in ServiceNow?,multiple-choice,Security Operations > Integrations > Integration Configurations,System Administration > Integrations,CMDB > Data Sources,Reports > Integration Status,,,,,,,,,,,,1,"SIR integrations are configured at Security Operations > Integrations > Integration Configurations, where available integrations appear as cards.",Security Incident and Threat Intelligence Integrations
What role is required to configure SIR integrations like HPE ArcSight Logger?,multiple-choice,sn_si.basic,sn_si_admin,itil,admin,,,,,,,,,,,,2,Role required for configuring SIR integrations is sn_si_admin.,Security Incident and Threat Intelligence Integrations
