Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which field is added to tables to enable domain separation?,multiple-choice,sys_tenant,sys_domain,domain_id,sys_scope,,,,,,,,,,,,2,"By default, domain separation adds a sys_domain field to the Task [task] and Configuration Items [cmdb_ci] tables and their extensions. This field stores the domain to which each record belongs.",Data Separation/Visibility
"In a domain hierarchy, a user in a parent domain can view records from which domains by default?",multiple-choice,Only their own domain,"Their domain, child domains, and domains they have visibility into",All domains in the instance,Only the global domain,,,,,,,,,,,,2,"From a domain, users can see records in the global domain, their specific domain, any child domain of that domain, or any domain that gets directly or indirectly contained by that domain. This follows the platform's visibility domains and contains domains rules.",Data Separation/Visibility
Which statement accurately describes what happens when records are automatically generated in a domain-separated environment?,multiple-choice,Records are always created in the global domain,The domain of the record is the same as the domain of the user creating or generating the records,Records are randomly assigned to available domains,Records inherit the domain of the parent table,,,,,,,,,,,,2,"For records that are automatically generated (and for any record that is manually generated), the domain of the record is the same as the domain of the user responsible for creating or generating the records. This is critical for ensuring records are visible to the right set of users.",Data Separation/Visibility
Which is NOT a recommended practice when domain separating tables?,multiple-choice,Adding sys_domain field to custom tables,Domain separating platform tables with sys_ prefix,Creating domain-specific business rules,Using the CI Class Manager for CMDB domain configuration,,,,,,,,,,,,2,ServiceNow does not recommend domain separating platform tables (any table with the sys_ prefix such as the Dictionary Entry [sys_dictionary] and Dictionary Entry Override [sys_dictionary_override] tables) because it can produce unexpected results.,Data Separation/Visibility
Which tables have the sys_domain field added by default when domain separation is enabled? (Choose two),multiple-choice,Task [task],Dictionary Entry [sys_dictionary],Configuration Items [cmdb_ci],System Properties [sys_properties],Script Include [sys_script_include],,,,,,,,,,,"1,3","By default, domain separation adds a domain field to the Task [task] and Configuration Items [cmdb_ci] tables and their extensions. These are the primary data tables that typically need domain separation for multi-tenant implementations.",Data Separation/Visibility
"Evaluate the following statements about domain visibility:

Statement 1: Users always have access to data from domains that have been explicitly granted to them by domain visibility.

Statement 2: A user in a child domain can always view records in the parent domain.

Which statements are TRUE?",multiple-choice,Statement 1 only,Statement 2 only,Both statements,Neither statement,,,,,,,,,,,,1,"Statement 1 is TRUE: Users always have access to data from domains that have been explicitly granted to them by domain visibility. Statement 2 is FALSE: An incident in the parent domain can reference artifacts in the child domain, but not the other way around. Child domains cannot automatically access parent domain records.",Data Separation/Visibility
"A service provider has domains organized as: Global > TOP > Domain A and Domain B. If a control needs to be assessed by users in both Domain A and Domain B, where should the control be created?",multiple-choice,Domain A only,Domain B only,TOP domain,Global domain,,,,,,,,,,,,4,"If you have a risk or control that you want to be assessed by users in domains A and B, the risk or control should be generated or manually created at the global level. If the control is created in Domain B, you will not be able to recreate it in Domain A due to indexing constraints.",Data Separation/Visibility
What happens to security incidents in a domain-separated Security Incident Response implementation?,multiple-choice,All security incidents are visible across all domains,Security incidents in one domain cannot be viewed from other domains,Security incidents are automatically shared with parent domains,Security incidents must be manually assigned to each domain,,,,,,,,,,,,2,"Data can be domain-separated, which means security incidents in one domain can't be viewed from other domains. Observables extracted from the security incident are placed in the same domain and can't be viewed from other domains.",Data Separation/Visibility
Which aspects of domain separation are included when the application supports domain separation at runtime? (Choose three),multiple-choice,Separation from the user interface,Automatic data backup,Cache keys separation,Reporting and rollups separation,Database table partitioning,,,,,,,,,,,"1,3,4","At the Basic support level, the application supports domain separation at run time including: separation from the user interface, cache keys, reporting, rollups, and aggregations. These are the fundamental runtime aspects of domain separation.",Data Separation/Visibility
"Evaluate the following statements about IRE (Identification and Reconciliation Engine) domain separation modes:

Statement 1: In Strict mode, identification processes only those CIs where the domain ID is identical to the domain of the currently logged-in user.

Statement 2: In Platform domain separation mode, duplicate CIs across different domains are NOT considered duplicates by IRE.

Which statements are TRUE?",multiple-choice,Statement 1 only,Statement 2 only,Both statements,Neither statement,,,,,,,,,,,,1,"Statement 1 is TRUE: In Strict mode (enabled by default), identification processes only those CIs in which the domain ID is identical to the domain of the currently logged-in user. Statement 2 is FALSE: When Platform domain separation mode is enabled, duplicate CIs that exist across domains (such as parent and child domains) ARE considered as duplicate CIs by IRE.",Data Separation/Visibility
