Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What are the three types of changes in ServiceNow?,multiple-choice,"Small, Medium, and Large","Standard, Normal, and Emergency","Internal, External, and Mixed","Planned, Unplanned, and Scheduled",,,,,,,,,,,,2,"There are three types of changes in ServiceNow: Standard (pre-approved, commonly implemented), Normal (requires comprehensive assessments and CAB authorization), and Emergency (must be implemented swiftly, requires ECAB approval).",Change Management
What distinguishes a Standard change from a Normal change?,multiple-choice,Standard changes cost more to implement,Standard changes are pre-approved and don't require CAB approval each time,Standard changes are only for emergency situations,Standard changes cannot be tracked,,,,,,,,,,,,2,"Standard changes are pre-approved, commonly implemented changes with established implementation steps and a track record of successful outcomes. Obtaining group-level or peer approval and CAB approval is not always necessary for standard changes.",Change Management
What does CAB stand for in Change Management?,multiple-choice,Change Administration Board,Change Advisory Board,Configuration Advisory Board,Central Approval Bureau,,,,,,,,,,,,2,"CAB stands for Change Advisory Board. Normal changes require comprehensive assessments and authorizations including peer or technical approval, Change Management, and Change Advisory Board authorization.",Change Management
What is the purpose of conflict detection in Change Management?,multiple-choice,To identify employee scheduling conflicts,"To detect scheduling conflicts with CIs, maintenance windows, and blackout periods",To find conflicts in change request descriptions,To detect budget conflicts,,,,,,,,,,,,2,"The Change Management application helps identify schedule conflicts by analyzing factors such as configuration items, planned start and end dates, and change scope. Conflicts may arise from CI scheduling, maintenance windows, blackout windows, or assigned personnel availability.",Change Management
What does the 'Authorized' state mean in the change lifecycle?,multiple-choice,The change has been implemented,CAB has provided final authorization and we're waiting for the scheduled window,The change has been canceled,The change is being assessed,,,,,,,,,,,,2,"Authorized means that CAB has provided the final authorization to proceed with the change, and we're simply waiting for the scheduled window. When the scheduled window occurs, it's time to implement the change.",Change Management
Why is it best practice to create emergency changes from an incident?,multiple-choice,To reduce paperwork,To minimize the risk of unauthorized changes by associating with a documented incident,To speed up the approval process automatically,Emergency changes cannot be created any other way,,,,,,,,,,,,2,"Emergency changes do not follow the complete lifecycle of a normal change, which can potentially lead to unauthorized changes. To minimize this risk, it is best practice to create emergency changes if they are associated with an incident.",Change Management
What are the four types of change tasks in ServiceNow?,multiple-choice,"Create, Update, Delete, and Archive","Planning, Implementation, Testing, and Review","Assess, Authorize, Implement, and Close","Request, Approve, Execute, and Verify",,,,,,,,,,,,2,"ServiceNow offers four types of change tasks: Planning, Implementation, Testing, and Review tasks. Each task has states including pending, open, in progress, closed, and canceled.",Change Management
What is a change model in ServiceNow?,multiple-choice,A 3D visualization of the change,"A template that defines the process, fields, states, approvals, and tasks for specific change types",A cost estimation model,A database schema for changes,,,,,,,,,,,,2,"The process details, such as the specific fields, record states, approvals or pre-approvals, and tasks created are determined by the change model and change policies. Multimodal Change allows customization of activities and workflows for specific use cases.",Change Management
A change request has scheduling conflicts detected. What should the change owner do?,multiple-choice,Ignore the conflicts and proceed immediately,Review conflicts and either amend the change to avoid them or document justification in work notes,Cancel the change request,Wait for the conflicts to resolve automatically,,,,,,,,,,,,2,"It is up to the change owner or assigned user to review the conflicts and decide whether to amend the change to avoid conflicts or proceed anyway. Work notes should be constantly updated with justification if conflicts are ignored, as change approvers can also see them.",Change Management
Which methods are available for determining the risk of a change? (Choose two),multiple-choice,Risk conditions using predefined properties,Manager's personal judgment only,Risk assessments using end-user provided information,Random risk assignment,,,,,,,,,,,,"1,3","There are two methods for determining change risk: risk conditions (using predefined properties and conditions to calculate a risk value) and risk assessments (relying on information provided by the end user). Both can be used independently or combined, with the highest risk value chosen.",Change Management
An update set has been marked as 'Complete' but additional changes are needed. What is the recommended approach?,multiple-choice,Revert the update set back to 'In Progress' and make the changes,Create a new update set and commit them in the order they were created,Delete the completed update set and start over,Merge the changes directly into the default update set,,,,,,,,,,,,2,"Once an update set is marked as complete, don't revert it back to in-progress. Instead, start a new update set and commit them in the order they were created. Use naming conventions like 'Performance Enhancements' and 'Performance Enhancements 2' to keep them organized.",Change Management
How many instances does a ServiceNow customer receive at minimum?,multiple-choice,One (production only),Two (production and non-production),"Three (production, staging, and development)","Four (production, test, development, and QA)",,,,,,,,,,,,2,"Customers receive at least two instances: production and non-production. They can add more for tasks like testing, development, or quality assurance.",Change Management
What architecture does ServiceNow use for its instances?,multiple-choice,Multi-instance multi-tenant,Single-instance multi-tenant,Multi-instance single-tenant,Single-instance single-tenant,,,,,,,,,,,,3,"ServiceNow uses a multi-instance single-tenant architecture, meaning each instance has its own isolated database. Each instance is hosted at a ServiceNow data center with a unique URL.",Change Management
What is the purpose of the Change Advisory Board (CAB) Workbench?,multiple-choice,To automatically approve all change requests,To help CAB managers schedule and manage meetings to review and authorize change requests,To create new change request templates,To generate reports on historical change success rates,,,,,,,,,,,,2,The Change Advisory Board Workbench helps CAB managers schedule and manage meetings to review and authorize change requests.,Change Management
"When merging multiple update sets, how does ServiceNow handle conflicts where the same object was modified?",multiple-choice,It rejects the merge entirely,It keeps the latest change to the object,It prompts the admin to choose which version to keep,It creates a new version combining both changes,,,,,,,,,,,,2,"When merging update sets, the latest change to an object is kept. This is why it's important to commit update sets in the order they were created.",Change Management
What are the three types of change in ServiceNow's Change Management? (Choose 3),multiple-choice,Standard,Normal,Emergency,Cosmetic,Routine,,,,,,,,,,,"1,2,3","ServiceNow supports three change types: Standard (pre-approved, low-risk, repeatable), Normal (requires assessment and approval through the full change process), and Emergency (fast-tracked for urgent fixes to critical issues).",change-management
A change implementer discovers a critical issue during the implementation of a Normal change. The change cannot be completed as planned. What should be recorded?,multiple-choice,Move the change to 'Review' state and document it as an unsuccessful implementation with rollback details,Delete the change record and create a new one,Close the change as successful anyway,Convert the change to an Emergency type,,,,,,,,,,,,1,Failed implementations should be documented by moving the change to Review state with details about what went wrong and the rollback steps taken. This maintains the audit trail and supports post-implementation review.,change-management
What is the purpose of a 'Change Advisory Board' (CAB) in ServiceNow?,multiple-choice,"To review, assess, and approve or reject Normal and Emergency changes",To implement changes on behalf of the change owner,To automatically schedule all changes,To create Standard change templates,,,,,,,,,,,,1,"The CAB is a group of stakeholders who review proposed changes for risk, impact, and scheduling conflicts. They provide approval or rejection decisions, particularly for Normal changes that require assessment.",change-management
