Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What are the two primary goals of the ServiceNow Vulnerability Response application?,multiple-choice,Replace third-party scanners and automate patch deployment,Help security teams handle vulnerability data and help operations teams resolve vulnerabilities,Generate vulnerability reports and manage firewall rules,Monitor network traffic and block malicious IPs,,,,,,,,,,,,2,"According to ServiceNow documentation, the Vulnerability Response application has two primary goals: (1) Help security teams challenged with handling huge amounts of vulnerability data, and (2) Help operations teams tasked with resolving vulnerabilities.",Vulnerability Response Applications and Modules
Which two personas typically use the Vulnerability Response application? (Choose two.),multiple-choice,Vulnerability Analyst,Network Administrator,Remediation Owner,Database Administrator,,,,,,,,,,,,"1,3","ServiceNow defines two primary personas for VR: (1) Vulnerability Analyst - usually in Security, Risk and Compliance, or Management, who monitors vulnerabilities and determines when to initiate remediation; (2) Remediation Owner - usually part of IT Operations, DevOps/Engineering, or Service Owner, who completes remediation tasks.",Vulnerability Response Applications and Modules
Which workspace does the Vulnerability Analyst persona primarily use to monitor and create remediation tasks?,multiple-choice,IT Remediation Workspace,Security Incident Response Workspace,Vulnerability Manager Workspace,Configuration Compliance Workspace,,,,,,,,,,,,3,The Vulnerability Analyst primarily uses the Vulnerability Manager Workspace to monitor vulnerabilities and create remediation tasks. The IT Remediation Workspace is used by Remediation Owners.,Vulnerability Response Applications and Modules
Which feature of Vulnerability Response is available by separate subscription and specifically addresses application vulnerabilities?,multiple-choice,Container Vulnerability Response (CVR),Application Vulnerability Response (AVR),Configuration Compliance (CC),Software Bill of Materials (SBOM),,,,,,,,,,,,2,Application Vulnerability Response (AVR) is a feature of the ServiceNow Vulnerability Response application that imports application vulnerable items (AVITs) and allows remediation of application vulnerabilities. It is available by separate subscription.,Vulnerability Response Applications and Modules
Which of the following are typical risks that vulnerability scanners identify? (Choose three.),multiple-choice,Reliance on outdated software or misconfigured systems,Unsecured network protocols,Employee vacation schedules,Dependency on flawed third-party software libraries,Office furniture inventory,,,,,,,,,,,"1,2,4","ServiceNow documentation lists common risks identified by vulnerability scanners: reliance on outdated software or misconfigured systems, unsecured network protocols, dependency on flawed third-party software libraries, poor or inconsistent system administration hygiene, and baseline system images that are not hardened.",Vulnerability Response Applications and Modules
A security team is overwhelmed managing vulnerabilities and asks: 'Who should be accountable for and own identified risks?' Which ServiceNow capability helps address this challenge?,multiple-choice,Vulnerability Response with Assignment Rules,Change Management with approval workflows,Incident Management with auto-routing,Service Catalog with request items,,,,,,,,,,,,1,Vulnerability Response with Assignment Rules addresses the question 'Who should be accountable for and own identified risks?' by automatically assigning vulnerable items to appropriate assignment groups based on defined criteria.,Vulnerability Response Applications and Modules
Which external source does Vulnerability Response use to import vulnerability data that describes known vulnerabilities?,multiple-choice,Microsoft Security Response Center (MSRC),National Vulnerability Database (NVD),OWASP Top 10 Database,ServiceNow Knowledge Base,,,,,,,,,,,,2,Vulnerability Response imports vulnerability data from external sources including the National Vulnerability Database (NVD) and third-party integrations.,Vulnerability Response Applications and Modules
"Which of the following statements about Vulnerability Response and CMDB integration are true?
a) Imported vulnerabilities from the NVD are reconciled with assets in the CMDB
b) Detection data from third-party products is matched with CMDB CIs
c) Triage may include creating remediation tasks composed of multiple vulnerable items
d) CMDB integration requires a separate subscription",multiple-choice,"a, b, c, and d","a, b, and c only","b, c, and d only",a and c only,,,,,,,,,,,,2,"Statements a, b, and c are true. Imported vulnerabilities from NVD and detection data from third-party products are reconciled with CMDB assets. Triage includes creating remediation tasks with multiple vulnerable items. However, CMDB integration is part of the base VR functionality, not a separate subscription.",Vulnerability Response Applications and Modules
"Which Vulnerability Response feature helps manage vulnerabilities that require additional manual intervention, more time to resolve, or extensive research?",multiple-choice,Automated patch deployment,Coordinated change and exception management,Real-time scanner integration,Vulnerability discovery engine,,,,,,,,,,,,2,"Coordinated change and exception management helps resolve vulnerabilities that might require additional manual intervention, more time to resolve, or extensive research.",Vulnerability Response Applications and Modules
Which workspace do Remediation Owners primarily use to work on remediation tasks?,multiple-choice,Vulnerability Manager Workspace,IT Remediation Workspace,Security Operations Workspace,DevOps Workspace,,,,,,,,,,,,2,The Remediation Owner persona primarily works on remediation tasks from within the IT Remediation Workspace. Vulnerability Analysts use the Vulnerability Manager Workspace.,Vulnerability Response Applications and Modules
Which is NOT a typical action Remediation Owners might take when working on vulnerability remediation?,multiple-choice,Complete remediation tasks to fix vulnerabilities,Submit exception requests for vulnerabilities requiring more time,Create new scanner integrations,Submit change requests for controlled asset maintenance,,,,,,,,,,,,3,"Creating scanner integrations is an administrative task, not a Remediation Owner activity. Remediation Owners complete remediation tasks, submit exception or change requests if controlled processes are required for asset maintenance or removal.",Vulnerability Response Applications and Modules
