Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which type of change requires comprehensive assessment and authorization including CAB approval?,multiple-choice,Standard change,Normal change,Pre-approved change,Catalog change,,,,,,,,,,,,2,"A normal change refers to any change that isn't classified as a standard or emergency change. Such changes require comprehensive assessments and authorizations, including peer/technical approval, Change Management review, and Change Advisory Board authorization.",Change Management
What is the primary characteristic of a standard change?,multiple-choice,It requires emergency CAB approval,It has a proven track record of successful outcomes,It must always be linked to an incident,It cannot be initiated through the Service Catalog,,,,,,,,,,,,2,"Standard changes are commonly implemented changes that have established implementation steps and a track record of successful outcomes. Because of this proven history, they can skip assessment and authorization steps.",Change Management
What is the best practice when creating an emergency change?,multiple-choice,Skip all documentation requirements,Associate it with an incident,Bypass the ECAB entirely,Implement it before getting any approval,,,,,,,,,,,,2,"To minimize the risk of unauthorized changes, it is best practice to create emergency changes if they are associated with an incident. Additionally, ECAB (Emergency CAB) approval is required for emergency changes.",Change Management
What does the 'Authorized' state indicate in the change lifecycle?,multiple-choice,The change is being implemented,CAB has approved the change and it is waiting for the scheduled window,The change is undergoing peer review,The change has been completed successfully,,,,,,,,,,,,2,"Authorized means that CAB has provided the final authorization to proceed with the change, and the change is waiting for the scheduled implementation window to arrive.",Change Management
Which scenarios might trigger a scheduling conflict in Change Management? (Select two),multiple-choice,The configuration item is already scheduled at the given date and time,The change has more than five tasks,The configuration item falls within a blackout window,The change description exceeds 500 characters,,,,,,,,,,,,"1,3","Conflicts may arise if CIs are already scheduled at the given date and time, or if the CI falls within a blackout window. Other conflicts include parent/child CI scheduling conflicts and assigned person availability.",Change Management
"What role is responsible for overseeing schedules, change approval policies, and standard change proposals?",multiple-choice,itil,itil_admin,change_manager,cab_member,,,,,,,,,,,,3,"The change_manager role can oversee schedules, change approval policies, and standard change proposals. The ITIL role allows creating/updating changes, while itil_admin allows additional capabilities like deleting changes.",Change Management
What is the difference between CAB and ECAB?,multiple-choice,"CAB handles emergencies, ECAB handles normal changes",ECAB is a subset of CAB that handles emergency changes under stricter timelines,"CAB is optional, ECAB is mandatory for all changes",ECAB only reviews standard changes,,,,,,,,,,,,2,"The Emergency Change Advisory Board (ECAB) is a subset of the CAB responsible for handling emergency changes. Unlike the CAB, the ECAB operates under stricter timelines and focuses primarily on minimizing potential risks.",Change Management
A change is rejected by CAB. What happens to the change request?,multiple-choice,It is automatically closed,It reverts to the New state with comments required,It moves to the Canceled state,It is escalated to ECAB,,,,,,,,,,,,2,"When a change is rejected, comments are necessary to explain why, and the change is reverted to its New state. This allows the requester to address the concerns and resubmit if appropriate.",Change Management
What are the four types of change tasks in ServiceNow?,multiple-choice,"Create, Update, Delete, Review","Planning, Implementation, Testing, Review","New, Assess, Authorize, Close","Normal, Standard, Emergency, Routine",,,,,,,,,,,,2,"ServiceNow offers four types of change tasks: Planning, Implementation, Testing, and Review tasks. Each task has states including pending, open, in progress, closed, and canceled.",Change Management
"When a change is placed On Hold, what happens to all active change tasks?",multiple-choice,They are automatically canceled,They have the On Hold checkbox set to true with the reason copied,They continue as normal without changes,They are moved to Pending state,,,,,,,,,,,,2,"All active change tasks will have the On Hold checkbox set to true, and the on-hold reason will be copied from the change to the task. Once the change is no longer on hold, the checkbox is cleared on all active tasks.",Change Management
What should be verified before a change enters the scheduled implementation window?,multiple-choice,Only the technical implementation steps,"Resources, responsibilities, vendor availability, and communication channels",Just the CAB approval status,Only the affected configuration items,,,,,,,,,,,,2,"Before implementation, verify that resources are available and allocated, everyone understands their roles, vendor availability is confirmed, implementation procedures are reviewed, and communication channels (bridge calls, messaging groups) are set up.",Change Management
What is Multimodal Change in ServiceNow?,multiple-choice,A change that affects multiple configuration items,A feature that allows customizing change activities and workflows for specific use cases,A change that requires multiple approvers,A change type for multi-department implementations,,,,,,,,,,,,2,"Multimodal Change is a ServiceNow innovation that offers a simple solution for change managers to customize change activities and workflows to suit specific use cases, building upon established ITIL basic change types.",Change Management
Which stages of the change lifecycle are skipped for a standard change?,multiple-choice,Assess and Authorize,Implement and Review,New and Assess,Authorize and Implement,,,,,,,,,,,,1,"Standard changes are repeatable, pre-approved processes with a proven track record. Because they are already authorized, both the Assess and Authorize stages are skipped. Emergency changes skip only the Assess stage.",Change Management
Which factors can cause scheduling conflicts for a change request in ServiceNow? (Choose two.),multiple-choice,The configuration item is within a blackout window,The change requester is on vacation,A parent or child CI is already scheduled at the same time,The change description exceeds 500 characters,,,,,,,,,,,,"1,3","ServiceNow detects scheduling conflicts when CIs fall within blackout windows or when parent/child CIs are already scheduled at the same time. Other factors include CIs already scheduled, CIs outside maintenance windows, and the assigned-to person already scheduled.",Change Management
A change request is placed On Hold. What happens to all active change tasks?,multiple-choice,Active tasks are automatically canceled,Active tasks have the On Hold checkbox set to true with the on-hold reason copied from the change,Active tasks continue as normal without any status change,Active tasks are reassigned to the change manager,,,,,,,,,,,,2,"When a change is placed on hold, all active change tasks have the On Hold checkbox set to true, and the on-hold reason is copied from the change to the task. When the change is no longer on hold, the checkbox is set to false and the reason is cleared.",Change Management
What is the primary difference between the Change Advisory Board (CAB) and the Emergency Change Advisory Board (ECAB)?,multiple-choice,CAB handles only standard changes while ECAB handles normal changes,ECAB is a subset of CAB that operates under stricter timelines to expedite emergency changes,CAB members have higher authority than ECAB members,ECAB reviews all changes before they reach CAB for final approval,,,,,,,,,,,,2,"The ECAB is a subset of the CAB specifically responsible for handling emergency changes. Unlike the CAB, the ECAB operates under stricter timelines and focuses primarily on minimizing potential risks during emergencies.",Change Management
What are the two methods available to determine the risk of a change request?,multiple-choice,Risk conditions and risk assessments,Impact analysis and urgency scoring,Priority matrix and conflict detection,Approval voting and CAB scoring,,,,,,,,,,,,1,"ServiceNow provides two methods: Risk Conditions (predefined properties and conditions that calculate risk) and Risk Assessments (surveys completed by users to assess risk). Both can be used independently or together — when combined, the method producing the highest risk value is chosen.",Change Management
