Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What are the two core CMDB tables that Discovery populates?,multiple-choice,Asset [alm_asset] and Hardware [cmdb_hardware],Configuration Item [cmdb_ci] and CI Relationship [cmdb_rel_ci],Discovery Status [discovery_status] and ECC Queue [ecc_queue],Server [cmdb_ci_server] and Application [cmdb_ci_appl],,,,,,,,,,,,2,"The CMDB employs the core Configuration Item [cmdb_ci] table which stores basic attributes of all CIs, and the CI Relationship [cmdb_rel_ci] table which defines all relationships between CIs. Extended tables like Hardware and Server inherit from cmdb_ci.",Configuration Management Database
What is the default Effective Duration time for CI staleness in the base system?,multiple-choice,30 days,60 days,90 days,180 days,,,,,,,,,,,,2,The base system includes a default staleness rule for the Configuration Item [cmdb_ci] class which sets the Effective Duration time to 60 days. This rule applies to all extended CMDB classes and can be overridden by class-specific staleness rules.,Configuration Management Database
What is the main root cause of duplicate devices in the CMDB?,multiple-choice,Running Discovery too frequently,Multiple sources populating the CMDB without proper reconciliation,Using too many MID Servers,Having overlapping IP ranges in Discovery schedules,,,,,,,,,,,,2,"The main root cause of duplicate devices in the CMDB comes from multiple sources populating it. For example, if Discovery creates a device and then devices are imported via an Excel spreadsheet, the reconciliation and required fields to properly avoid duplications may not be in place.",Configuration Management Database
Which metrics are included in the CMDB Health Dashboard's Correctness KPI? (Choose 3),multiple-choice,Orphan,Staleness,Duplicate,Performance,,,,,,,,,,,,"1,2,3","The Correctness KPI in CMDB Health Dashboard includes three metrics: Orphan (CIs no longer needed), Staleness (CIs not updated within the effective duration), and Duplicate (CIs matching the same identification criteria). These measure data quality issues.",Configuration Management Database
What must be activated for the Compliance KPI to show results in CMDB Health Dashboard?,multiple-choice,Discovery,Audit,Event Management,Service Mapping,,,,,,,,,,,,2,Audit must be activated for the compliance KPI to show results. Audit compares actual values of specified fields against expected values defined in template and scripted audits. CMDB Health uses the most recent complete audit run results.,Configuration Management Database
What determines if Discovery creates a new CI or updates an existing one?,multiple-choice,The Discovery schedule configuration,CI Identifiers with criterion attributes that match,The CMDB Health Dashboard score,The MID Server assignment,,,,,,,,,,,,2,"During the Identification phase, Discovery attempts to find a matching device in the CMDB using CI Identifiers. The Identifier Entries with criterion attributes are tried in order. If a match is found, the CI is updated; if not and Allow fallback is not enabled, a new CI is created.",Configuration Management Database
What table stores the data from all discovery sources including those rejected due to reconciliation rules?,multiple-choice,Data Source Histories [cmdb_datasource_last_update],CMDB MultiSource Data [cmdb_multisource_data],Discovery Status [discovery_status],ECC Queue [ecc_queue],,,,,,,,,,,,2,"With Multisource CMDB (Paris and later), raw details for every discovery source are retained in the CMDB MultiSource Data [cmdb_multisource_data] table. This includes both sources that were selected for updates and those that were rejected due to reconciliation rules.",Configuration Management Database
How does Discovery create Asset records from discovered CIs?,multiple-choice,Discovery populates the Assets table directly during exploration,Assets are created manually by administrators after discovery,"Discovery creates CIs, and Model Categories trigger automatic Asset creation",Asset creation requires a separate scheduled job after discovery,,,,,,,,,,,,3,"Discovery does not populate the Assets table directly. Instead, Discovery creates or updates a CI record which has a Model and Model Category associated. The Model Category determines if an Asset record will be created and associated to the CI automatically.",Configuration Management Database
What does the 'Allow fallback to parent's rules' checkbox control on a child CI Identifier?,multiple-choice,Whether the child CI is marked as dependent on the parent,Whether the parent table's Identifier is tried if the child table Identifier has no match,Whether the CI inherits attributes from the parent class,Whether relationship records are created automatically,,,,,,,,,,,,2,"If a CI Identifier is created on a child table and the 'Allow fallback to parent's rules' checkbox is checked, the parent table's Identifier is tried if there's no match from the child table Identifier. Without this checkbox, a new CI is created if there's no match from the child table Identifier.",Configuration Management Database
What is the purpose of the Multisource CMDB feature introduced in the Paris release?,multiple-choice,To allow multiple MID Servers to discover the same CI simultaneously,"To retain raw data from every discovery source, including rejected values, for auditing and comparison",To merge duplicate CIs from different sources automatically,To prioritize cloud-based discovery sources over on-premise sources,,,,,,,,,,,,2,"Multisource CMDB retains the raw details for every discovery source in the CMDB MultiSource Data [cmdb_multisource_data] table, both for sources that were selected for updates and those that were rejected by reconciliation rules.",Configuration Management Database
