Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which scheduled job normalizes hardware and consumable models by comparing data against the Hardware Asset Management Content Service?,multiple-choice,HAM- Model Reconciliation,HAM- Hardware Normalization,Asset Model Sync,CMDB- Model Normalization,,,,,,,,,,,,2,"The HAM- Hardware Normalization scheduled job runs daily. This job updates normalization-related fields for existing models such as Normalized Product, Normalized Manufacturer, and Normalized Model.",Data Integrity & Sources
What does the HAM- Hardware Normalization scheduled job NOT do?,multiple-choice,Update normalization-related fields like Normalized Product,"Add, remove, or merge models",Compare data against the Hardware Model Normalization Content Service,Update the Normalized Manufacturer field,,,,,,,,,,,,2,"The HAM- Hardware Normalization scheduled job does NOT add, remove, or merge models, nor does it modify the original fields like Model Name, Manufacturer, or Model Number. It only updates normalization-related fields for existing models.",Data Integrity & Sources
An administrator needs to enable hardware model normalization for a non-default domain. Which table must be configured to enable normalization for a specific domain?,multiple-choice,Domain Settings [sys_domain_settings],Domain Asset Process Settings [alm_domain_asset_process_setting],Asset Normalization Config [sn_hwnorm_config],Hardware Model Domain [cmdb_model_domain],,,,,,,,,,,,2,"The Domain Asset Process Settings table (alm_domain_asset_process_setting) stores configurations for asset processes, including the normalization of hardware models. To enable normalization for a specific domain, locate the domain and set the 'Run asset process' field to true.",Data Integrity & Sources
Which reports are generated by the Hardware Normalization scheduled job? (Choose two.),multiple-choice,Hardware Product Overall Normalization Status,Asset Discovery Compliance Report,Consumable Model Normalization Status,CI Reconciliation Summary,,,,,,,,,,,,"1,3","The Hardware Normalization scheduled job generates several reports including: Hardware Product Overall Normalization Status, Consumable Product Overall Normalization Status, Hardware Model Normalization Status, and Consumable Model Normalization Status.",Data Integrity & Sources
How can an administrator undo the normalization that occurred on a hardware model?,multiple-choice,Delete the model and recreate it,Run the Reverse Normalization scheduled job,Select Revert Normalization on the model,Clear all normalization fields manually,,,,,,,,,,,,3,The normalization status of models can be reverted by selecting 'Revert Normalization' on the model. Any normalization that occurred on the model gets reverted and the rule gets deactivated.,Data Integrity & Sources
Which table stores the status of the Hardware Normalization scheduled job?,multiple-choice,Scheduled Job Log [sys_trigger_log],Asset Job Log [asset_job_log],System Log [syslog],Normalization Log [sn_hwnorm_log],,,,,,,,,,,,2,Use the Asset Job Log (asset_job_log) table to review the status of the Hardware Normalization scheduled job.,Data Integrity & Sources
"Which of the following statements about assets and CIs in HAM are true?
a) Assets track financial data such as cost and depreciation.
b) CIs track technical data about configuration items.
c) All CIs are also assets.
d) Asset and CI fields can be mapped to synchronize data bidirectionally.",multiple-choice,"a, b, c, and d","a, b, and d only",a and b only,"b, c, and d only",,,,,,,,,,,,2,"Statements a, b, and d are true. Statement c is false - NOT all CIs are assets, and not all assets are CIs. Assets track financial information while CIs track technical configuration. Field mappings enable bidirectional synchronization.",Data Integrity & Sources
"When mapping asset fields to CI fields, which synchronization directions can be configured? (Choose three.)",multiple-choice,From asset to CI,From CI to asset,Bidirectional (both),No synchronization,Scheduled batch sync only,,,,,,,,,,,"1,2,3","When you create field mappings between assets and CIs, you can set the synchronization direction from the asset, CI, or both (bidirectional). Changes to either record are updated to the logically mapped record.",Data Integrity & Sources
Which CI field should NOT be used for hardware CIs because CI synchronization does not update it?,multiple-choice,Install Status,Hardware Status,Substatus,Operational Status,,,,,,,,,,,,3,The Substatus field of the CI Install Status field should not be used for hardware CIs because the CI synchronization does not update this field when assets are updated.,Data Integrity & Sources
"By default, hardware model normalization is performed only for models within which domain?",multiple-choice,Global domain,TOP/Default domain,All domains,Admin domain,,,,,,,,,,,,2,"By default, normalization is performed only for models within the TOP/Default domain. However, if you have the asset or domain_admin role, you can enable normalization for hardware models in any domain.",Data Integrity & Sources
What is the primary difference between assets and CIs in ServiceNow?,multiple-choice,Assets track financial data; CIs track technical configuration data,Assets are stored in CMDB; CIs are stored in Asset Management,Assets are only for hardware; CIs are only for software,Assets cannot be synchronized with CIs,,,,,,,,,,,,1,"Assets track financial data (cost, depreciation, purchase info) while CIs track technical configuration data. This is the fundamental distinction between the two record types in ServiceNow.",Data Integrity & Sources
How frequently does the HAM- Hardware Normalization scheduled job run by default?,multiple-choice,Hourly,Daily,Weekly,Monthly,,,,,,,,,,,,2,The HAM- Hardware Normalization scheduled job runs daily by default. This job updates normalization-related fields for existing models.,Data Integrity & Sources
Which fields are updated by the HAM- Hardware Normalization scheduled job? (Choose three.),multiple-choice,Normalized Product,Model Name,Normalized Manufacturer,Model Number,Normalized Model,,,,,,,,,,,"1,3,5","The HAM- Hardware Normalization job updates normalization-related fields like Normalized Product, Normalized Manufacturer, and Normalized Model. It does NOT modify the original fields like Model Name or Model Number.",Data Integrity & Sources
An administrator wants to enable hardware normalization for a specific domain. Which field must be set to true in the Domain Asset Process Settings table?,multiple-choice,Enable normalization,Run asset process,Active,Process hardware models,,,,,,,,,,,,2,"To enable normalization for a specific domain in the Domain Asset Process Settings table, locate the domain and set the 'Run asset process' field to true. When the scheduled job runs next, the hardware models of that domain will be normalized.",Data Integrity & Sources
Which Hardware asset overview widget displays the percentage of hardware and consumable models that are normalized?,multiple-choice,Asset requests,Model normalization,Model lifecycle overview,Discovered and undiscovered asset count,,,,,,,,,,,,2,The Model normalization widget in the Hardware asset overview displays the percentage of hardware and consumable models that are normalized.,Data Integrity & Sources
Where is content from the Hardware Model Normalization Content Service pulled into?,multiple-choice,CMDB,Asset Management tables,ServiceNow AI Platform,MID Server,,,,,,,,,,,,3,Content from the Hardware Model Normalization Content Service is pulled into the ServiceNow AI Platform.,Data Integrity & Sources
What does the glide.asset.create_ci_with_ire property enable?,multiple-choice,CIs to be created from assets using the Identification and Reconciliation Engine (IRE),Automatic synchronization of CI status with asset status,Bulk import of CIs from external discovery tools,Automatic deletion of duplicate CIs,,,,,,,,,,,,1,This property enables CIs to be created from assets using the CMDB Identification and Reconciliation Engine (IRE). CIs are named using 'Serial Number - Model Name' format with source 'SNAssetManagement'. It applies to CI classes extended from cmdb_ci_hardware that have identification rules on serial number.,Data Integrity & Sources
Which business rules keep asset and CI records synchronized?,multiple-choice,'Update CI fields on change' and 'Update Asset fields on change','Sync Asset' and 'Sync CI','Asset CI Sync' and 'CI Asset Sync','Create Asset from CI' and 'Create CI from Asset',,,,,,,,,,,,1,Two business rules maintain synchronization: 'Update CI fields on change' (on the Asset [alm_asset] table) and 'Update Asset fields on change' (on the Configuration Item [cmdb_ci] table).,Data Integrity & Sources
What is the purpose of the sn_itam_enable_cache_for_asset_ci_mapping property?,multiple-choice,To cache asset records for faster search results,"To cache asset-CI field mappings, state mappings, and hardware status mappings for improved synchronization performance",To cache CI records in memory for bulk operations,To enable distributed caching across multiple application nodes,,,,,,,,,,,,2,"This property caches: Asset and CI field mappings, Asset state and CI install status mappings, and Asset state and CI hardware status mappings. These cached mappings are used during synchronization, improving system performance.",Data Integrity & Sources
