Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which new Zurich feature allows dispatchers to plan field technician capacity using both real-time schedules and forecasted availability?,multiple-choice,Capacity Forecasting Engine,Hybrid Capacity Model,Dynamic Resource Planner,Workforce Optimizer,,,,,,,,,,,,2,The Hybrid Capacity Model is new in Zurich and enables organizations to define long-term capacity using both real-time technician schedules and forecasted availability. This empowers dispatchers to plan with confidence.,Schedule Optimization
"What Zurich feature allows FSM customers to choose AI model providers like Gemini, Claude, or Azure OpenAI for Now Assist?",multiple-choice,AI Model Selector,Model Provider Flexibility,LLM Configuration Manager,AI Provider Hub,,,,,,,,,,,,2,"Model Provider Flexibility in Zurich empowers customers to choose from trusted AI models while managing them natively within the ServiceNow AI Platform. Field service organizations can rapidly test, switch, and update AI skills at scale.",Now Assist Configuration
Which Zurich Schedule Optimization enhancement allows jobs to be assigned based on configurable criteria like skills or cost?,multiple-choice,Skill-Based Routing,Cost Optimizer,Resource Efficiency,Smart Assignment,,,,,,,,,,,,3,"Resource Efficiency is a new Schedule Optimization enhancement in Zurich that allows jobs to be assigned based on configurable criteria like skills or cost, helping dispatchers align scheduling with business goals.",Schedule Optimization
What new capability does Zurich add to the FSM Dispatcher Workspace for managing technicians across regions?,multiple-choice,Regional grouping filters,View multiple time zones side-by-side,Cross-region assignment rules,Territory mapping visualization,,,,,,,,,,,,2,"Zurich enhances Dispatcher Workspace with the ability to view multiple time zones side-by-side, assign tasks directly from list or record views, and temporarily include technicians from outside their assigned groups.",Dispatcher Workspace
Which new capability in Zurich's Smart Assessment for Field Service Questionnaire enables faster mobile data capture?,multiple-choice,Voice input recognition,Barcode scanning,Photo auto-tagging,GPS coordinate capture,,,,,,,,,,,,2,"Zurich enhances Smart Assessment for Field Service Questionnaire with barcode scanning, intelligent input validation, automated follow-up task creation, and improved error handling for attachments. These innovations streamline mobile data collection.",Mobile Field Service
From which locations can a dispatcher dispatch work order tasks to qualified agents in Field Service Management?,multiple-choice,"Dispatch queue, task map, and Dispatcher Workspace","Work Order form, Agent Calendar, and Service Portal","Task map, Flow Designer, and Mobile Agent","Dispatcher Workspace, Agent Workspace, and Service Catalog",,,,,,,,,,,,1,"Dispatchers can dispatch work order tasks from three locations: the Dispatch queue (dispatch tasks from task records), the Task map (dispatch using a Google map with geolocation), and Dispatcher Workspace (dispatch using drag-and-drop and auto-assign capabilities).",Field Service Management Fundamentals
Which capabilities are available to field agents when using the Now Mobile Agent application in offline mode? (Choose two.),multiple-choice,Auto-dispatch tasks to other agents,Accept or reject assigned tasks,Create new part requirements,Modify work order templates,Reassign tasks to different crews,,,,,,,,,,,"2,3","When working offline with the Now Mobile Agent application, field agents can accept or reject tasks assigned to them and create new part requirements. These offline capabilities allow agents to continue productive work at task sites without internet connectivity.",Field Service Management Fundamentals
Which fields can be configured in the Task Information section of a Work Order Template? (Choose three.),multiple-choice,Work Configuration,Agent Performance Metrics,Task Skills,Checklist Template,Customer Satisfaction Score,SLA Breach Notifications,,,,,,,,,,"1,3,4","The Task Information section of a Work Order Template includes Work Configuration (which automatically populates Task type and Work type fields), Task Skills (skills required by an agent with mandatory indicators), and Checklist Template (to add checklists to tasks created from the template).",Field Service Management Fundamentals
Which role is NOT authorized to dispatch work order tasks in Field Service Management?,multiple-choice,wm_dispatcher,wm_initiator_qualifier_dispatcher,wm_agent,wm_admin,,,,,,,,,,,,3,"The wm_agent role is NOT authorized to dispatch work order tasks. This role is for field service agents who execute tasks, not dispatch them. Only wm_dispatcher, wm_initiator_qualifier_dispatcher, and wm_admin roles can dispatch work order tasks.",Field Service Management Fundamentals
Which statements are TRUE regarding auto-dispatch functionality in Field Service Management? (Choose two.),multiple-choice,Auto-dispatch only considers agent location when assigning tasks,"Auto-dispatch evaluates an agent's dispatch group, assignment group, location, and skills before assignment","When Territory Planning is enabled, auto-dispatch selects dispatch groups based on the selected territory",Auto-dispatch bypasses all skill requirements to ensure fastest assignment,,,,,,,,,,,,"2,3","Auto-dispatch evaluates multiple factors including an agent's dispatch group, assignment group, location, and skills before assigning a task. Additionally, when Territory Planning is enabled, auto-dispatch selects dispatch groups based on the selected territory before assigning the task to an agent or crew.",Field Service Management Fundamentals
