Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"In the CSDM Foundation domain, what is the primary purpose of the lifecycle stage and stage status attributes introduced in CSDM 4?",multiple-choice,To replace all existing CI attributes with a single status field,"To provide standardized, non-customizable lifecycle tracking for assets and CIs",To allow customers to create unlimited custom status values,To sync status values automatically between different ServiceNow instances,,,,,,,,,,,,2,"The lifecycle stage and stage status attributes were introduced in CSDM 4 to solve the problem of having nine different state/status attributes that didn't sync well, and over 50% of customers customizing them. The new attributes are standardized and non-customizable to ensure ServiceNow can develop consistent functionality around them.",Configuration
Why is the Business Process CI class placed in the Foundation domain rather than other CSDM domains?,multiple-choice,Because business processes are always created before any other CIs,"Because it can reference objects outside the CMDB, such as locations and users",Because it is the most commonly used CI class in ServiceNow,Because business processes do not have relationships with other CIs,,,,,,,,,,,,2,"The Business Process CI is unique because it can reference multiple elements throughout the entire platform that are not in the CMDB, including locations, documentation, and users critical to the process. This cross-platform referencing capability is why it belongs in the Foundation domain.",Configuration
What is the key difference between lifecycle stages for tangible (physical) CIs versus intangible (logical) CIs in CSDM?,multiple-choice,Tangible CIs have more stages because they require physical disposal at end of life,Intangible CIs have more stages to track software licensing,Both types share identical lifecycle stages and statuses,Only tangible CIs can use the operational stage,,,,,,,,,,,,1,"Tangible/physical CIs (like servers and hardware) include an 'End of Life' stage because they require physical disposal, while intangible/logical CIs (like business services and applications) don't need disposal stages since you don't physically dispose of logical objects.",Configuration
Which of the following are components of Value Streams in the CSDM Foundation domain? (Select all that apply),multiple-choice,Value stream categories (approximately 15 out-of-box),Stages that reference CMDB objects and business capabilities,Direct storage in CMDB tables,Processes linked to each stage,,,,,,,,,,,,"1,2,4","Value streams in CSDM consist of: (1) categories (about 15 out-of-box, based on Harvard research), (2) stages that reference CMDB objects and business capabilities, and (3) processes linked to stages. Value streams do NOT live inside the CMDB but reference objects within it.",Configuration
An organization wants to track that a server is still operational but will be retired in the next quarter. Which lifecycle stage and status combination in CSDM would best represent this scenario?,multiple-choice,End of Operation stage with Pending Retirement status,Operational stage with Pending Retirement status,End of Life stage with Operational status,Build stage with Inventory status,,,,,,,,,,,,2,"When a CI is still operational but scheduled for retirement, it should be in the Operational stage with a Pending Retirement status. This indicates it's still in use ('operational') but has been identified for upcoming retirement. The CSDM provides these 'flavors of operational' to distinguish between active use, pending end of support, and pending retirement.",Configuration
"In the CMDB CI Class Models store app, which parent class does the Nutanix Controller VM [cmdb_ci_nutanix_controller_vm] class extend?",multiple-choice,Virtual Machine Object [cmdb_ci_vm_object],Application [cmdb_ci_appl],Virtual Machine Instance [cmdb_ci_vm_instance],Virtualization Server [cmdb_ci_virtualization_server],,,,,,,,,,,,2,"The Nutanix Controller VM class [cmdb_ci_nutanix_controller_vm] extends the Application [cmdb_ci_appl] class. This is because the Controller VM provides storage clustering and management capabilities on each node, functioning as an application rather than a virtual machine instance.",Configuration
Which table stores technical services in the Manage Technical Services domain of the CSDM framework?,multiple-choice,[cmdb_ci_service_discovered],[cmdb_ci_service_auto],[cmdb_ci_service_technical],[cmdb_ci_query_based_service],,,,,,,,,,,,3,The Technical service table [cmdb_ci_service_technical] is the designated table for storing technical services in the Manage Technical Services domain of the CSDM framework.,Configuration
What is the primary purpose of the Nutanix Storage Container class [cmdb_ci_nutanix_storage_container] in the CMDB?,multiple-choice,To represent the grouping of physical disks within a Nutanix cluster for physical separation between virtual machines,"To represent a subset of a storage pool used to apply policies such as reserved capacity, replication factor, and storage optimization",To manage the Nutanix Controller VM that provides storage clustering capabilities on each node,To represent the physical host infrastructure on which Nutanix virtual machines run,,,,,,,,,,,,2,"The Nutanix Storage Container class represents a subset of the Nutanix storage pool used to apply policies such as reserved capacity, replication factor, and storage optimization options. It extends the Storage Volume [cmdb_ci_storage_volume] class.",Configuration
What restriction applies to CIs that are associated through a Dynamic CI Group in the Manage Technical Services domain?,multiple-choice,Each CI can be associated with a maximum of three Dynamic CI Groups simultaneously,Each CI can be related to only one Technical Service or Technical Service Offering,Each CI must be manually approved before it can be included in a Dynamic CI Group,Each CI must have an active Discovery schedule configured before being added to a group,,,,,,,,,,,,2,"Each CI associated through a Dynamic CI Group can be related to only one Technical Service or Technical Service Offering. Conflicts can result when one service includes multiple offerings with different SLAs, OLAs, Support Groups, and commitments.",Configuration
An organization does not yet have Service Mapping enabled but needs to represent an application service consisting of 12 servers and 3 database instances in ServiceNow. Which approach should they use?,multiple-choice,Create a technical service in the [cmdb_ci_service_technical] table and manually add CI relationships,Create a Dynamic CI Group as a query-based application service to replace manual tracking,Wait until Service Mapping is enabled since application services require Top Down Discovery,Import CI data into the [cmdb_ci_service_discovered] table using a spreadsheet upload,,,,,,,,,,,,2,"When Service Mapping is not yet enabled, a Dynamic CI Group can be used as a query-based application service. The documentation specifically states: 'You don't have Service Mapping enabled yet, but you have 12 servers and three database instances in MyAppServiceProd. You can replace your spreadsheets with a dynamic CI group as an application service.'",Configuration
