Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which Performance Analytics feature supports domain separation for collecting scores from multiple domains?,multiple-choice,KPI Composer,Analytics Hub,Domain separation and Performance Analytics,Spotlight,,,,,,,,,,,,3,"Domain separation is supported for Performance Analytics. Domain separation enables you to separate data, processes, and administrative tasks into logical groupings called domains. Performance Analytics supports collecting scores from multiple domains and can be configured to enable domain-specific administration.",Administration & Advanced Solutions
What does the Performance Analytics Integration capability allow?,multiple-choice,Only importing data from external systems,Collecting scores based on remote data or exposing Analytics Hub information to external systems,Only exporting dashboards to PDF,Connecting only to other ServiceNow instances,,,,,,,,,,,,2,Integrate Performance Analytics with an external system to collect scores based on remote data or to expose Analytics Hub information.,Administration & Advanced Solutions
Which two scripting capabilities are provided by Performance Analytics? (Choose two.),multiple-choice,Script objects for use in breakdown mappings,APIs for querying Performance Analytics data,Scripts that automatically create indicators,Scripts for modifying table structures,,,,,,,,,,,,"1,2",Performance Analytics provides several script objects for use in scripts and APIs for querying Performance Analytics data. The scripts serve as breakdown mappings or to calculate a value from an indicator.,Administration & Advanced Solutions
Which two roles can access the Performance Analytics Admin Console? (Choose two.),multiple-choice,pa_viewer and pa_power_user,admin and pa_admin,pa_data_collector and pa_viewer,itil and pa_contributor,,,,,,,,,,,,2,Users with the admin or pa_admin roles can navigate to Performance Analytics > Admin Console.,CIS-PA
Which two panels are available in the Performance Analytics Admin Console for identifying issues? (Choose two.),multiple-choice,Troubleshoot — for diagnostic errors and failed data collection jobs,Usage — for data collection and report usage dashboards,Audit — for tracking configuration changes,Compliance — for regulatory reporting,,,,,,,,,,,,"1,2",The Admin Console includes Troubleshoot (diagnostic errors and failed jobs) and Usage (data collection overview and reports usage dashboards) panels for issue identification.,CIS-PA
What does the Dependency Assessment feature in Performance Analytics allow administrators to do?,multiple-choice,Assess dependencies between ServiceNow instances,"View, analyze, and edit PA components and their relationships from a single view",Check dependencies between PA plugins before activation,Evaluate the impact of upgrading to a new ServiceNow release,,,,,,,,,,,,2,"Dependency Assessment enables administrators to view, analyze, and edit PA components including widgets, indicators, and breakdowns from a single view, showing hierarchy and relationships to understand the impact of changes.",CIS-PA
An administrator wants to restrict a dashboard so only users with the 'itil' role can view it. What must be done BEFORE setting the 'Restrict to roles' field?,multiple-choice,Enable responsive dashboards on the instance,Share the dashboard with the intended users first,Activate the Premium PA subscription,Create a custom ACL for the dashboard,,,,,,,,,,,,2,You must share the dashboard before you can restrict access to specified roles. Restricting access to specific roles is not the same as sharing — users must be shared with AND have the restricted role.,CIS-PA
Which role is required to add or remove Performance Analytics widgets on a dashboard?,multiple-choice,Any role,itil,pa_power_user (minimum),dashboard_admin,,,,,,,,,,,,3,The ability to add Performance Analytics widgets to dashboards requires at least the pa_power_user role. Users with pa_admin and admin roles can also do this.,CIS-PA
How are ACLs applied to Performance Analytics widgets on dashboards?,multiple-choice,ACLs are enforced on all PA widgets the same as other widget types,ACLs are NOT applied to PA widgets; any user who can view the dashboard can view all PA widgets,ACLs are applied only to PA widgets showing list data,ACLs are applied based on the widget creator's permissions,,,,,,,,,,,,2,"ACLs are not applied to Performance Analytics widgets added to dashboards. Any user who can view a dashboard can view all its PA widgets. However, real-time scores depend on the logged-in user's roles and ACLs of the facts table.",CIS-PA
Which two users can delete a responsive dashboard? (Choose two.),multiple-choice,Any user with pa_power_user role,The dashboard owner,Users with the dashboard_admin role,Any user the dashboard has been shared with,,,,,,,,,,,,"2,3",Only the dashboard owner and users with the dashboard_admin or admin role can delete a dashboard.,CIS-PA
